Year,Adjustments On Amalgamation Merger Demerger Others,Asset Turnover Ratio (%),Basic EPS (Rs.),Bonus Equity Share Capital,Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Capital Goods,Capital Work-In-Progress,Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year,Cash EPS (Rs.),Cash Earnings Retention Ratio (%),Close,Contingent Liabilities,Current Investments,Current Ratio (X),Deferred Tax Assets [Net],Deferred Tax Liabilities [Net],Diluted EPS (Rs.),Dividend / Share(Rs.),Dividend Payout Ratio (CP) (%),Dividend Payout Ratio (NP) (%),EV/EBITDA (X),EV/Net Operating Revenue (X),Earnings Retention Ratio (%),Earnings Yield,Employees Cost,Enterprise Value (Cr.),Equity Share Capital,Expenditure In Foreign Currency,Fixed Assets,Foreign Exchange Gains / Losses,Intangible Assets,Interest,Inventories,Inventory Turnover Ratio (X),Long Term Borrowings,Long Term Loans And Advances,Long Term Provisions,MarketCap/Net Operating Revenue (X),Net Cash Used From Financing Activities,Net Cash Used In Investing Activities,Net CashFlow From Operating Activities,Net Inc/Dec In Cash And Cash Equivalents,Net Profit Margin (%),Net Profit/(Loss) For the Period,Net Profit/Loss Before Extraordinary Items And Tax,Net Profit/Share (Rs.),Non-Current Investments,Non-Current Investments Unquoted Book Value,Other Assets,Other Current Liabilities,Other Earnings,Other Expenses,Other Income,Other Long Term Liabilities,Other Non-Current Assets,OtherCurrentAssets,P/L After Tax from Ordinary Activities,P/L Before Exceptional Items & Tax,"P/L Before Int., Excpt. Items & Tax","P/L Before Other Inc. , Int., Excpt. Items & Tax",P/L Before Tax,PBDIT Margin (%),PBDIT/Share (Rs.),PBIT Margin (%),PBIT/Share (Rs.),PBT Margin (%),PBT/Share (Rs.),Price/BV (X),Price/Net Operating Revenue,Quick Ratio (X),Raw Materials,Reserves and Surplus,Retention Ratios (%),Return on Assets (%),Return on Capital Employed (%),Return on Networth / Equity (%),Revenue from Operations/Share (Rs.),Short Term Borrowings,Short Term Loans And Advances,Short Term Provisions,"Stores, Spares And Loose Tools",Tangible Assets,Tax,Total Assets,Total Capital And Liabilities,Total Current Assets,Total Current Liabilities,Total Debt/Equity (X),Total Income From Operations,Total Non-Current Assets,Total Non-Current Liabilities,Total Reserves and Surplus,Total Share Capital,Total Shareholders Funds,Trade Payables,Trade Receivables,Trade/Other Goods,depreciat
Sep-06,0,151.26,55.53,9.11,114.64,114.64,122.02,280,171.17,176.27,171.17,60.79,77.8,255.5124969,851.64,0,2.29,28.46,67.34,55.53,13.5,22.2,24.31,28.03,8.33,75.69,0.03,1507.35,93523.69,97.86,4427.57,1449.78,2.25,12.71,0.16,22.94,489.56,8.98,0,0,8.34,-882.3,-1464.97,2344.42,-5.1,24.19,931.32,3074.35,55.53,1963.52,1583.63,0,434.81,26.03,1087.91,19.4,0,0,0,5750.158788,7421.465455,7477.466061,6408.646364,7396.501515,29.7,68.18,27.41,62.92,27.37,62.83,16.7,8.34,2.28,96.28,5560.4,75.68,36.59,47.78,48.43,229.52,26.52,1462.11,540.54,0,1157.07,80.21,7424.61,7424.61,3982.85,1738.96,0.01,23891.57379,3441.76,76.32,5560.4,48.93,5609.33,737.09,2326.63,0,76.92
Dec-06,0,151.26,55.53,9.11,114.64,114.64,122.02,280,171.17,176.27,171.17,60.79,77.8,305.5,851.64,0,2.29,28.46,67.34,55.53,13.5,22.2,24.31,28.03,8.33,75.69,0.03,1599.59,93523.69,97.86,4427.57,1449.78,2.25,12.71,1.16,22.94,489.56,8.98,0,0,8.34,-882.3,-1464.97,2344.42,-5.1,24.19,950.52,3074.35,55.53,1963.52,1583.63,0,434.81,26.03,1103.53,25.47,0,0,0,5750.158788,7421.465455,7477.466061,6408.646364,7396.501515,29.7,68.18,27.41,62.92,27.37,62.83,16.7,8.34,2.28,96.28,5560.4,75.68,36.59,47.78,48.43,229.52,26.52,1462.11,540.54,0,1157.07,107.7,7424.61,7424.61,3982.85,1738.96,0.01,23891.57379,3441.76,76.32,5560.4,48.93,5609.33,737.09,2326.63,0,87.19
Mar-07,0,138.77,38.39,58.04,82.35,82.35,352.99,757.85,557.14,171.17,557.14,41.9,72.56,308.4624939,3003.25,0,1.99,37.61,60.61,38.39,11.5,27.44,29.95,26.56,8.03,70.05,0.03,1651.93,119978.83,97.86,6162.95,2218.46,13.52,12.71,2.02,12.06,1238.8,8.98,0,0,8.06,-1075.35,-2076.42,3551.26,385.97,25.14,1078.76,4170.68,38.39,3252.04,2852.58,0,821.37,99.84,1204.26,103.48,0,0,0,5750.158788,7421.465455,7477.466061,6408.646364,7396.501515,30.23,46.16,27.93,42.65,27.91,42.62,14.95,8.06,1.99,14.96,7961.13,70.04,34.9,46.22,46.62,152.67,41.76,1888.13,905.05,0,1447.9,146.07,10765.24,10765.24,5257.13,2636.66,0.01,23891.57379,5508.11,69.59,7961.13,97.86,8058.99,868.48,2799.8,0,110.6
Jun-07,0,138.77,38.39,58.04,82.35,82.35,352.99,757.85,557.14,171.17,557.14,41.9,72.56,287.3374939,3003.25,0,1.99,37.61,60.61,38.39,11.5,27.44,29.95,26.56,8.03,70.05,0.03,1513.79,119978.83,97.86,6162.95,2218.46,13.52,12.71,0.11,12.06,1238.8,8.98,0,0,8.06,-1075.35,-2076.42,3551.26,385.97,25.14,1073.85,4170.68,38.39,3252.04,2852.58,0,821.37,99.84,1560.29,155.75,0,0,0,5750.158788,7421.465455,7477.466061,6408.646364,7396.501515,30.23,46.16,27.93,42.65,27.91,42.62,14.95,8.06,1.99,14.96,7961.13,70.04,34.9,46.22,46.62,152.67,41.76,1888.13,905.05,0,1447.9,86.91,10765.24,10765.24,5257.13,2636.66,0.01,23891.57379,5508.11,69.59,7961.13,97.86,8058.99,868.48,2799.8,0,100.79
Sep-07,0,138.77,38.39,58.04,82.35,82.35,352.99,757.85,557.14,171.17,557.14,41.9,72.56,265.0375061,3003.25,0,1.99,37.61,60.61,38.39,11.5,27.44,29.95,26.56,8.03,70.05,0.03,1470.22,119978.83,97.86,6162.95,2218.46,13.52,12.71,1.1,12.06,1238.8,8.98,0,0,8.06,-1075.35,-2076.42,3551.26,385.97,25.14,1147.11,4170.68,38.39,3252.04,2852.58,0,821.37,99.84,1807.37,104.62,0,0,0,5750.158788,7421.465455,7477.466061,6408.646364,7396.501515,30.23,46.16,27.93,42.65,27.91,42.62,14.95,8.06,1.99,14.96,7961.13,70.04,34.9,46.22,46.62,152.67,41.76,1888.13,905.05,0,1447.9,147.88,10765.24,10765.24,5257.13,2636.66,0.01,23891.57379,5508.11,69.59,7961.13,97.86,8058.99,868.48,2799.8,0,107.81
Dec-07,0,138.77,38.39,58.04,82.35,82.35,352.99,757.85,557.14,171.17,557.14,41.9,72.56,269.3500061,3003.25,0,1.99,37.61,60.61,38.39,11.5,27.44,29.95,26.56,8.03,70.05,0.03,1525.35,119978.83,97.86,6162.95,2218.46,13.52,12.71,1.1,12.06,1238.8,8.98,0,0,8.06,-1075.35,-2076.42,3551.26,385.97,25.14,1178.99,4170.68,38.39,3252.04,2852.58,0,821.37,99.84,1998.72,107.11,0,0,0,5750.158788,7421.465455,7477.466061,6408.646364,7396.501515,30.23,46.16,27.93,42.65,27.91,42.62,14.95,8.06,1.99,14.96,7961.13,70.04,34.9,46.22,46.62,152.67,41.76,1888.13,905.05,0,1447.9,119.34,10765.24,10765.24,5257.13,2636.66,0.01,23891.57379,5508.11,69.59,7961.13,97.86,8058.99,868.48,2799.8,0,117.98
Mar-08,0,125.77,46.07,58.04,111.43,111.43,231.55,889.74,527.52,557.14,527.52,50.76,72.42,202.6125031,2726.11,0,2.04,66.89,121.38,46.07,14,27.58,30.38,14.44,4.26,69.62,0.06,1505.83,78945.4,97.86,6421.96,2830.27,27.86,12.71,1.11,17.19,1078.17,8.98,0,0,4.28,-1424.77,-2404.9,3827.91,-29.62,24.32,1108.81,5003.86,46.07,4509.33,4095.69,0,1164.81,130.85,2132.04,78.47,0,0,0,1108.81,1249.78,1250.89,1172.42,1249.78,29.49,55.86,27.01,51.17,26.99,51.13,7.28,4.28,2.03,41.26,10806.95,69.61,30.59,40.49,41.34,189.39,9.27,3037.85,1187.44,0,1927.82,140.97,14736.06,14736.06,7329.57,3600.89,0,4942.49,7406.49,130.36,10806.95,197.86,11004.81,1239.37,3747.01,0,132.2
Jun-08,0,125.77,46.07,58.04,111.43,111.43,231.55,889.74,527.52,557.14,527.52,50.76,72.42,214.5500031,2726.11,0,2.04,66.89,121.38,46.07,14,27.58,30.38,14.44,4.26,69.62,0.06,1747.25,78945.4,97.86,6421.96,2830.27,27.86,12.71,0.41,17.19,1078.17,8.98,0,0,4.28,-1424.77,-2404.9,3827.91,-29.62,24.32,1204.01,5003.86,46.07,4509.33,4095.69,0,1164.81,130.85,2182.3,109.88,0,0,0,1204.01,1310.06,1310.47,1200.59,1310.06,29.49,55.86,27.01,51.17,26.99,51.13,7.28,4.28,2.03,41.26,10806.95,69.61,30.59,40.49,41.34,189.39,9.27,3037.85,1187.44,0,1927.82,106.05,14736.06,14736.06,7329.57,3600.89,0,5212,7406.49,130.36,10806.95,197.86,11004.81,1239.37,3747.01,0,81.86
Sep-08,0,125.77,46.07,58.04,111.43,111.43,231.55,889.74,527.52,557.14,527.52,50.76,72.42,166.3999939,2726.11,0,2.04,66.89,121.38,46.07,14,27.58,30.38,14.44,4.26,69.62,0.06,1858.48,78945.4,97.86,6421.96,2830.27,27.86,12.71,0.17,17.19,1078.17,8.98,0,0,4.28,-1424.77,-2404.9,3827.91,-29.62,24.32,1173.04,5003.86,46.07,4509.33,4095.69,0,1164.81,130.85,2240.24,-179.17,0,0,0,1173.04,1319.04,1319.21,1498.38,1319.04,29.49,55.86,27.01,51.17,26.99,51.13,7.28,4.28,2.03,41.26,10806.95,69.61,30.59,40.49,41.34,189.39,9.27,3037.85,1187.44,0,1927.82,146,14736.06,14736.06,7329.57,3600.89,0,5699.96,7406.49,130.36,10806.95,197.86,11004.81,1239.37,3747.01,0,102.86
Dec-08,0,125.77,46.07,58.04,111.43,111.43,231.55,889.74,527.52,557.14,527.52,50.76,72.42,119.4749985,2726.11,0,2.04,66.89,121.38,46.07,14,27.58,30.38,14.44,4.26,69.62,0.06,1942.92,78945.4,97.86,6421.96,2830.27,27.86,12.71,4.57,17.19,1078.17,8.98,0,0,4.28,-1424.77,-2404.9,3827.91,-29.62,24.32,1211.89,5003.86,46.07,4509.33,4095.69,0,1164.81,130.85,2318.36,-143.27,0,0,0,1211.89,1351.84,1356.41,1499.68,1351.84,29.49,55.86,27.01,51.17,26.99,51.13,7.28,4.28,2.03,41.26,10806.95,69.61,30.59,40.49,41.34,189.39,9.27,3037.85,1187.44,0,1927.82,139.95,14736.06,14736.06,7329.57,3600.89,0,5875.48,7406.49,130.36,10806.95,197.86,11004.81,1239.37,3747.01,0,114.52
Mar-09,0,120.82,47.99,58.04,136.38,136.38,260.52,685.13,1605.26,417,540.65,52.25,73.21,134.6374969,2924.33,0,1.87,3.65,103.05,47.99,14,26.79,29.17,9.23,2.29,70.83,0.09,1821.44,51379.51,97.86,7867.52,3354.21,0,12.71,2.29,16.95,1321.65,38.92,0,0,2.36,-1588.25,-3162.22,4874.12,123.65,20.96,1107.27,5139.68,47.99,5936.03,5992.44,0,2188.56,236.39,2272.18,-243.68,0,0,0,1107.27,1158.75,1161.04,1404.72,1158.75,24.83,56.86,22.97,52.6,22.94,52.52,3.96,2.36,1.86,42.35,13248.39,70.82,25.32,34.56,35.18,228.92,1.45,3907.2,1450.23,0,2656.37,51.48,18541.03,18541.03,9247.14,4952.81,0,5616.56,9293.89,141.97,13248.39,197.86,13446.25,1312.57,3717.73,0,118.22
Jun-09,0,120.82,47.99,58.04,136.38,136.38,260.52,685.13,1605.26,417,540.65,52.25,73.21,194.9250031,2924.33,0,1.87,3.65,103.05,47.99,14,26.79,29.17,9.23,2.29,70.83,0.09,1958.57,51379.51,195.72,7867.52,3354.21,0,12.71,1.44,16.95,1321.65,38.92,0,0,2.36,-1588.25,-3162.22,4874.12,123.65,20.96,1276.44,5139.68,47.99,5936.03,5992.44,0,2188.56,236.39,2096.8,1.26,0,0,0,1276.44,1440.85,1442.29,1441.03,1440.85,24.83,56.86,22.97,52.6,22.94,52.52,3.96,2.36,1.86,42.35,13248.39,70.82,25.32,34.56,35.18,228.92,1.45,3907.2,1450.23,0,2656.37,164.41,18541.03,18541.03,9247.14,4952.81,0,5609.6,9293.89,141.97,13248.39,197.86,13446.25,1312.57,3717.73,0,113.2
Sep-09,0,120.82,47.99,58.04,136.38,136.38,260.52,685.13,1605.26,417,540.65,52.25,73.21,310.5,2924.33,0,1.87,3.65,103.05,47.99,14,26.79,29.17,9.23,2.29,70.83,0.09,1988.72,51379.51,195.72,7867.52,3354.21,0,12.71,1.42,16.95,1321.65,38.92,0,0,2.36,-1588.25,-3162.22,4874.12,123.65,20.96,1347.6,5139.68,47.99,5936.03,5992.44,0,2188.56,236.39,2083.3,-25.36,0,0,0,1347.6,1526.63,1528.05,1553.41,1526.63,24.83,56.86,22.97,52.6,22.94,52.52,3.96,2.36,1.86,42.35,13248.39,70.82,25.32,34.56,35.18,228.92,1.45,3907.2,1450.23,0,2656.37,179.03,18541.03,18541.03,9247.14,4952.81,0,5744.4,9293.89,141.97,13248.39,197.86,13446.25,1312.57,3717.73,0,118.97
Dec-09,0,120.82,47.99,58.04,136.38,136.38,260.52,685.13,1605.26,417,540.65,52.25,73.21,375.125,2924.33,0,1.87,3.65,103.05,47.99,14,26.79,29.17,9.23,2.29,70.83,0.09,1931.78,51379.51,195.72,7867.52,3354.21,0,12.71,2.51,16.95,1321.65,38.92,0,0,2.36,-1588.25,-3162.22,4874.12,123.65,20.96,1554.2,5139.68,47.99,5936.03,5992.44,0,2188.56,236.39,2103.24,40.36,0,0,0,1554.2,1767.81,1770.32,1729.96,1767.81,24.83,56.86,22.97,52.6,22.94,52.52,3.96,2.36,1.86,42.35,13248.39,70.82,25.32,34.56,35.18,228.92,1.45,3907.2,1450.23,0,2656.37,213.61,18541.03,18541.03,9247.14,4952.81,0,5883.39,9293.89,141.97,13248.39,197.86,13446.25,1312.57,3717.73,0,118.41
Mar-10,0,102.73,28.71,155.9,76.73,76.73,101.84,940.72,3396.16,554.83,293.28,31.1,35.71,390.3250122,3292.5,0,1.49,53.13,40.1,28.71,20,64.29,69.67,21.84,6.49,30.33,0.04,2003.36,149557.76,195.72,7339.16,3701.24,0,12.71,4.17,6.78,3398.89,35.74,0,0,6.63,-1969.65,-4556.64,6264.74,-261.55,24.38,1440.27,6370.38,28.71,7893.39,7509.85,0,1284.37,45.37,2207.01,161.34,0,0,0,1440.27,1635.09,1639.26,1477.92,1635.09,29.72,35,27.68,32.6,27.64,32.55,10.18,6.63,1.49,11.13,14820.9,30.32,25.04,36.98,37.41,117.74,0,4048.71,3926.61,0,2747.81,194.82,22431.71,22431.71,10783.95,7239.25,0,5807.06,11647.76,75.84,14820.9,295.72,15116.62,2028.27,3332.3,0,118.77
Jun-10,0,102.73,28.71,155.9,76.73,76.73,101.84,940.72,3396.16,554.83,293.28,31.1,35.71,375.5,3292.5,0,1.49,53.13,40.1,28.71,20,64.29,69.67,21.84,6.49,30.33,0.04,2259.42,149557.76,195.72,7339.16,3701.24,0,12.71,1.94,6.78,3398.89,35.74,0,0,6.63,-1969.65,-4556.64,6264.74,-261.55,24.38,1556.41,6370.38,28.71,7893.39,7509.85,0,1284.37,45.37,2290.18,36.43,0,0,0,1556.41,1781.24,1783.18,1746.75,1781.24,29.72,35,27.68,32.6,27.64,32.55,10.18,6.63,1.49,11.13,14820.9,30.32,25.04,36.98,37.41,117.74,0,4048.71,3926.61,0,2747.81,224.83,22431.71,22431.71,10783.95,7239.25,0,6410.95,11647.76,75.84,14820.9,295.72,15116.62,2028.27,3332.3,0,114.6
Sep-10,0,102.73,28.71,155.9,76.73,76.73,101.84,940.72,3396.16,554.83,293.28,31.1,35.71,463.4750061,3292.5,0,1.49,53.13,40.1,28.71,20,64.29,69.67,21.84,6.49,30.33,0.04,2532.77,149557.76,195.72,7339.16,3701.24,0,12.71,14.27,6.78,3398.89,35.74,0,0,6.63,-1969.65,-4556.64,6264.74,-261.55,24.38,1812.65,6370.38,28.71,7893.39,7509.85,0,1284.37,45.37,2576.07,103.22,0,0,0,1812.65,2121.39,2135.66,2032.44,2121.39,29.72,35,27.68,32.6,27.64,32.55,10.18,6.63,1.49,11.13,14820.9,30.32,25.04,36.98,37.41,117.74,0,4048.71,3926.61,0,2747.81,308.74,22431.71,22431.71,10783.95,7239.25,0,7267.45,11647.76,75.84,14820.9,295.72,15116.62,2028.27,3332.3,0,126.17
