Year,Adjustments On Amalgamation Merger Demerger Others,Asset Turnover Ratio (%),Basic EPS (Rs.),Bonus Equity Share Capital,Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Capital Goods,Capital Work-In-Progress,Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year,Cash EPS (Rs.),Cash Earnings Retention Ratio (%),Close,Contingent Liabilities,Current Investments,Current Ratio (X),Deferred Tax Assets [Net],Deferred Tax Liabilities [Net],Diluted EPS (Rs.),Dividend / Share(Rs.),Dividend Payout Ratio (CP) (%),Dividend Payout Ratio (NP) (%),EV/EBITDA (X),EV/Net Operating Revenue (X),Earnings Retention Ratio (%),Earnings Yield,Employees Cost,Enterprise Value (Cr.),Equity Share Capital,Expenditure In Foreign Currency,FOB Value Of Goods,Fixed Assets,Foreign Exchange Gains / Losses,Intangible Assets,Inventories,Inventory Turnover Ratio (X),Long Term Borrowings,Long Term Loans And Advances,Long Term Provisions,MarketCap/Net Operating Revenue (X),Net Cash Used From Financing Activities,Net Cash Used In Investing Activities,Net CashFlow From Operating Activities,Net Inc/Dec In Cash And Cash Equivalents,Net Profit Margin (%),Net Profit/(Loss) For the Period,Net Profit/Loss Before Extraordinary Items And Tax,Net Profit/Share (Rs.),Non-Current Investments,Non-Current Investments Unquoted Book Value,Other Assets,Other Current Liabilities,Other Expenses,Other Income,Other Long Term Liabilities,Other Non-Current Assets,OtherCurrentAssets,P/L After Tax from Ordinary Activities,P/L Before Exceptional Items & Tax,"P/L Before Int., Excpt. Items & Tax","P/L Before Other Inc. , Int., Excpt. Items & Tax",P/L Before Tax,PBDIT Margin (%),PBDIT/Share (Rs.),PBIT Margin (%),PBIT/Share (Rs.),PBT Margin (%),PBT/Share (Rs.),Price/BV (X),Price/Net Operating Revenue,Quick Ratio (X),Raw Materials,Reserves Excluding Revaluation Reserves,Reserves and Surplus,Retention Ratios (%),Return on Assets (%),Return on Capital Employed (%),Return on Networth / Equity (%),Revenue from Operations/Share (Rs.),Short Term Borrowings,Short Term Loans And Advances,Short Term Provisions,"Stores, Spares And Loose Tools",Tangible Assets,Tax,Total Assets,Total Capital And Liabilities,Total Current Assets,Total Current Liabilities,Total Debt/Equity (X),Total Income From Operations,Total Non-Current Assets,Total Non-Current Liabilities,Total Reserves and Surplus,Total Share Capital,Total Shareholders Funds,Trade Payables,Trade Receivables,Trade/Other Goods,depreciat
Sep-06,0,99.05,87.72,129.25,249.89,249.89,211,571,3279,1683,3779,102.54,56.26,231.2062531,523,0,2.73,56,0,87.72,45,43.74,51.13,25.21,8.75,48.87,0.03,1574,78992.46,278,3327,8649,2133,7,0,0,0,0,0,0,9.11,244,-392,2237,2096,26.81,896,2724,87.72,876,876,0,802,222,66,0,0,0,896,1010,1010,944,1010,34.7,113.51,30.17,98.7,30.17,98.7,11.93,9.11,2.73,8,8273,6759,48.86,26.56,35.1,35.1,327.1,0,1252,1409,0,1562,114,9114,9114,6049,2217,0,3273,3065,0,6759,138,6897,6,1518,0,110
Dec-06,0,99.05,87.72,129.25,249.89,249.89,211,571,3279,1683,3779,102.54,56.26,280.2250061,523,0,2.73,56,0,87.72,45,43.74,51.13,25.21,8.75,48.87,0.03,1631,78992.46,279,3327,8649,2133,7,0,0,0,0,0,0,9.11,244,-392,2237,2096,26.81,958,2724,87.72,876,876,0,802,257,60,0,0,0,958,1080,1080,1020,1080,34.7,113.51,30.17,98.7,30.17,98.7,11.93,9.11,2.73,8,9363,6759,48.86,26.56,35.1,35.1,327.1,0,1252,1409,0,1562,122,9114,9114,6049,2217,0,3454,3065,0,6759,138,6897,6,1518,0,129
Mar-07,0,101.25,66.05,267.66,195.14,195.14,258,957,5507,3779,5650,74.25,84.72,252.3312531,670,0,4.91,79,0,66.05,11.5,15.28,17.17,23.81,8.34,82.83,0.03,1708,109613.72,286,5387,12143,3107,-0.04,0,0,0,0,0,0,8.76,-316,-1065,3256,1871,28.73,1124,4129,66.05,839,839,0,1139,271,120,0,0,0,1124,1136,1136,1016,1136,35.01,80.49,31.44,72.29,31.44,72.29,10.31,8.76,4.91,8,10876,10876,82.82,29.09,33.84,33.84,229.88,0,1162,662,0,2150,12,12986,12986,8961,1824,0,3555,4025,0,10876,286,11162,23,2292,0,133
Jun-07,0,101.25,66.05,267.66,195.14,195.14,258,957,5507,3779,5650,74.25,84.72,241.1312561,670,0,4.91,79,0,66.05,11.5,15.28,17.17,23.81,8.34,82.83,0.03,1815,109613.72,286,5387,12143,3107,-0.04,0,0,0,0,0,0,8.76,-316,-1065,3256,1871,28.73,1028,4129,66.05,839,839,0,1139,296,255,0,0,0,1028,1131,1131,876,1131,35.01,80.49,31.44,72.29,31.44,72.29,10.31,8.76,4.91,8,11904,10876,82.82,29.09,33.84,33.84,229.88,0,1162,662,0,2150,103,12986,12986,8961,1824,0,3551,4025,0,10876,286,11162,23,2292,0,134
Sep-07,0,101.25,66.05,267.66,195.14,195.14,258,957,5507,3779,5650,74.25,84.72,236.59375,670,0,4.91,79,0,66.05,11.5,15.28,17.17,23.81,8.34,82.83,0.03,1946,109613.72,286,5387,12143,3107,-0.04,0,0,0,0,0,0,8.76,-316,-1065,3256,1871,28.73,1074,4129,66.05,839,839,0,1139,476,143,0,0,0,1074,1252,1252,1109,1252,35.01,80.49,31.44,72.29,31.44,72.29,10.31,8.76,4.91,8,12577,10876,82.82,29.09,33.84,33.84,229.88,0,1162,662,0,2150,178,12986,12986,8961,1824,0,3862,4025,0,10876,286,11162,23,2292,0,133
Dec-07,0,101.25,66.05,267.66,195.14,195.14,258,957,5507,3779,5650,74.25,84.72,221.2375031,670,0,4.91,79,0,66.05,11.5,15.28,17.17,23.81,8.34,82.83,0.03,1931,109613.72,286,5387,12143,3107,-0.04,0,0,0,0,0,0,8.76,-316,-1065,3256,1871,28.73,1186,4129,66.05,839,839,0,1139,288,152,0,0,0,1186,1341,1341,1189,1341,35.01,80.49,31.44,72.29,31.44,72.29,10.31,8.76,4.91,8,13788,10876,82.82,29.09,33.84,33.84,229.88,0,1162,662,0,2150,155,12986,12986,8961,1824,0,3999,4025,0,10876,286,11162,23,2292,0,138
Mar-08,0,90.86,78.15,267.66,235.84,235.84,296,1260,6429,5610,7689,87.69,62.09,179.9875031,603,0,3.28,99,0,78.15,33.25,37.91,42.55,13.35,4.82,57.45,0.05,2115,75375.58,286,6484,14468,3931,18,0,0,0,0,0,0,5.23,-777,-978,3816,2079,28.56,1182,5100,78.15,964,964,0,1447,257,133,0,0,0,1182,1376,1376,1243,1376,36.08,98.71,32.59,89.16,32.59,89.16,6.06,5.23,3.28,8,13204,13204,57.44,25.95,33.13,33.13,273.57,0,2705,2248,0,2671,194,17221,17221,12227,3731,0,4235,4994,0,13204,286,13490,36,3093,0,142
Jun-08,0,90.86,78.15,267.66,235.84,235.84,296,1260,6429,5610,7689,87.69,62.09,217.1000061,603,0,3.28,99,0,78.15,33.25,37.91,42.55,13.35,4.82,57.45,0.05,2633,75375.58,286,6484,14468,3931,18,0,0,0,0,0,0,5.23,-777,-978,3816,2079,28.56,1262,5100,78.15,964,964,0,1447,263,131,0,0,0,1262,1380,1380,1249,1380,36.08,98.71,32.59,89.16,32.59,89.16,6.06,5.23,3.28,8,36730.231,13204,57.44,25.95,33.13,33.13,273.57,0,2705,2248,0,2671,118,17221,17221,12227,3731,0,4516,4994,0,13204,286,13490,36,3093,0,155
Sep-08,0,90.86,78.15,267.66,235.84,235.84,296,1260,6429,5610,7689,87.69,62.09,174.7562561,603,0,3.28,99,0,78.15,33.25,37.91,42.55,13.35,4.82,57.45,0.05,2424,75375.58,286,6484,14468,3931,18,0,0,0,0,0,0,5.23,-777,-978,3816,2079,28.56,1390,5100,78.15,964,964,0,1447,326,77,0,0,0,1390,1634,1634,1557,1634,36.08,98.71,32.59,89.16,32.59,89.16,6.06,5.23,3.28,8,36730.231,13204,57.44,25.95,33.13,33.13,273.57,0,2705,2248,0,2671,244,17221,17221,12227,3731,0,5066,4994,0,13204,286,13490,36,3093,0,161
Dec-08,0,90.86,78.15,267.66,235.84,235.84,296,1260,6429,5610,7689,87.69,62.09,139.4312439,603,0,3.28,99,0,78.15,33.25,37.91,42.55,13.35,4.82,57.45,0.05,2648,75375.58,286,6484,14468,3931,18,0,0,0,0,0,0,5.23,-777,-978,3816,2079,28.56,1598,5100,78.15,964,964,0,1447,267,48,0,0,0,1598,1833,1833,1785,1833,36.08,98.71,32.59,89.16,32.59,89.16,6.06,5.23,3.28,8,16832,13204,57.44,25.95,33.13,33.13,273.57,0,2705,2248,0,2671,235,17221,17221,12227,3731,0,5429,4994,0,13204,286,13490,36,3093,0,169
Mar-09,0,95.8,101.71,267.66,311.35,311.35,207,615,9039,7689,10289,113.85,79.35,165.4875031,347,0,4.72,139,37,101.71,23.5,20.65,23.11,9,3.29,76.89,0.08,2609,66699.52,286,8043,19812,4414,0.73,12,0,0,0,0,0,3.74,-2430,-195,5152,2600,28.71,1569,6714,101.71,1005,1005,0,1472,260,248,0,0,0,1569,1867,1867,1619,1867,36.55,129.51,33.13,117.38,33.13,117.38,4.25,3.74,4.72,8,17523,17523,76.88,27.5,32.6,32.66,354.27,0,3164,1798,0,3787,298,21151,21151,15593,3305,0,5253,5558,37,17523,286,17809,35,3390,0,209
Jun-09,0,95.8,101.71,267.66,311.35,311.35,207,615,9039,7689,10289,113.85,79.35,222.0625,347,0,4.72,139,37,101.71,23.5,20.65,23.11,9,3.29,76.89,0.08,2506,66699.52,287,8043,19812,4414,0.73,12,0,0,0,0,0,3.74,-2430,-195,5152,2600,28.71,1464,6714,101.71,1005,1005,0,1472,264,265,0,0,0,1464,1837,1837,1572,1837,36.55,129.51,33.13,117.38,33.13,117.38,4.25,3.74,4.72,8,19004,17523,76.88,27.5,32.6,32.66,354.27,0,3164,1798,0,3787,373,21151,21151,15593,3305,0,5104,5558,37,17523,286,17809,35,3390,0,201
Sep-09,0,95.8,101.71,267.66,311.35,311.35,207,615,9039,7689,10289,113.85,79.35,288.2999878,347,0,4.72,139,37,101.71,23.5,20.65,23.11,9,3.29,76.89,0.08,2563,66699.52,287,8043,19812,4414,0.73,12,0,0,0,0,0,3.74,-2430,-195,5152,2600,28.71,1438,6714,101.71,1005,1005,0,1472,288,232,0,0,0,1438,1824,1824,1592,1824,36.55,129.51,33.13,117.38,33.13,117.38,4.25,3.74,4.72,8,19794,17523,76.88,27.5,32.6,32.66,354.27,0,3164,1798,0,3787,386,21151,21151,15593,3305,0,5201,5558,37,17523,286,17809,35,3390,0,207
Dec-09,0,95.8,101.71,267.66,311.35,311.35,207,615,9039,7689,10289,113.85,79.35,325.1375122,347,0,4.72,139,37,101.71,23.5,20.65,23.11,9,3.29,76.89,0.08,2578,66699.52,287,8043,19812,4414,0.73,12,0,0,0,0,0,3.74,-2430,-195,5152,2600,28.71,1471,6714,101.71,1005,1005,0,1472,322,222,0,0,0,1471,1911,1911,1689,1911,36.55,129.51,33.13,117.38,33.13,117.38,4.25,3.74,4.72,8,21284,17523,76.88,27.5,32.6,32.66,354.27,0,3164,1798,0,3787,440,21151,21151,15593,3305,0,5335,5558,37,17523,286,17809,35,3390,0,205
Mar-10,0,81.1,101.1,267.66,383.9,383.9,91,409,9797,10289,11297,115.16,78.31,326.9937439,295,0,4.46,313,232,101.1,25,21.69,24.71,16.85,6.64,75.29,0.04,2703,140309.74,287,8389,21072,4188,-68,12,0,0,0,0,0,7.1,-1486,-3314,5876,1008,27.45,1430,7472,101.1,4636,4636,0,1667,335,190,0,0,0,1372,1890,1890,1700,1890,39.38,145.07,35.57,131.01,35.57,131.01,6.81,7.1,4.46,10,21749,21749,75.28,22.26,26.05,26.33,368.29,0,3888,2035,0,3767,518,26066,26066,16929,3798,0,5500,9137,232,21749,287,22036,96,3244,0,194
Jun-10,0,81.1,101.1,267.66,383.9,383.9,91,409,9797,10289,11297,115.16,78.31,348.875,295,0,4.46,313,232,101.1,25,21.69,24.71,16.85,6.64,75.29,0.04,2859,140309.74,287,8389,21072,4188,-68,12,0,0,0,0,0,7.1,-1486,-3314,5876,1008,27.45,1431,7472,101.1,4636,4636,0,1667,423,237,0,0,0,1431,1919,1919,1682,1919,39.38,145.07,35.57,131.01,35.57,131.01,6.81,7.1,4.46,10,23184,21749,75.28,22.26,26.05,26.33,368.29,0,3888,2035,0,3767,488,26066,26066,16929,3798,0,5758,9137,232,21749,287,22036,96,3244,0,180
Sep-10,0,81.1,101.1,267.66,383.9,383.9,91,409,9797,10289,11297,115.16,78.31,381.3125,295,0,4.46,313,232,101.1,25,21.69,24.71,16.85,6.64,75.29,0.04,3092,140309.74,287,8389,21072,4188,-68,12,0,0,0,0,0,7.1,-1486,-3314,5876,1008,27.45,1641,7472,101.1,4636,4636,0,1667,473,248,0,0,0,1641,2237,2237,1989,2237,39.38,145.07,35.57,131.01,35.57,131.01,6.81,7.1,4.46,10,22156,21749,75.28,22.26,26.05,26.33,368.29,0,3888,2035,0,3767,596,26066,26066,16929,3798,0,6425,9137,232,21749,287,22036,96,3244,0,187
Dec-10,0,81.1,101.1,267.66,383.9,383.9,91,409,9797,10289,11297,115.16,78.31,430.34375,295,0,4.46,313,232,101.1,25,21.69,24.71,16.85,6.64,75.29,0.04,3208,140309.74,287,8389,21072,4188,-68,12,0,0,0,0,0,7.1,-1486,-3314,5876,1008,27.45,1641,7472,101.1,4636,4636,0,1667,452,275,0,0,0,1641,2268,2268,1993,2268,39.38,145.07,35.57,131.01,35.57,131.01,6.81,7.1,4.46,10,23808,21749,75.28,22.26,26.05,26.33,368.29,0,3888,2035,0,3767,627,26066,26066,16929,3798,0,6534,9137,232,21749,287,22036,96,3244,0,184
Mar-11,0,87.97,112.26,267.66,426.85,426.85,0,249,13665,11297,15165,125.14,52.04,405.1625061,1016,0,5.28,230,0,122.22,60,47.96,53.46,18,6.78,46.54,0.03,3208,172124.45,287,10765,23960,4305,5,0,0,0,0,0,0,7.32,-3642,3235,4270,3868,25.38,1730,8821,112.25,1325,1325,0,1880,552,387,0,0,1500,1730,2397,2397,2010,2397,37.66,166.57,34.74,153.68,34.74,153.68,7.58,7.32,5.28,0,24214,24214,46.53,22.32,26.29,26.29,442.25,0,3617,2473,0,4056,667,28854,28854,22994,4353,0,6668,5860,0,24214,287,24501,0,4212,0,189
Jun-11,0,87.97,112.26,267.66,426.85,426.85,0,249,13665,11297,15165,125.14,52.04,363.8062439,1016,0,5.28,230,0,122.22,60,47.96,53.46,18,6.78,46.54,0.03,3534,172124.45,287,10765,23960,4305,5,0,0,0,0,0,0,7.32,-3642,3235,4270,3868,25.38,1654,8821,112.25,1325,1325,0,1880,273,415,0,0,1500,1654,2298,2298,1883,2298,37.66,166.57,34.74,153.68,34.74,153.68,7.58,7.32,5.28,0,25871,24214,46.53,22.32,26.29,26.29,442.25,0,3617,2473,0,4056,644,28854,28854,22994,4353,0,6905,5860,0,24214,287,24501,0,4212,0,191
Sep-11,0,87.97,112.26,267.66,426.85,426.85,0,249,13665,11297,15165,125.14,52.04,316.6312561,1016,0,5.28,230,0,122.22,60,47.96,53.46,18,6.78,46.54,0.03,3713,172124.45,287,10765,23960,4305,5,0,0,0,0,0,0,7.32,-3642,3235,4270,3868,25.38,1822,8821,112.25,1325,1325,0,1880,991,383,0,0,1500,1822,2541,2541,2158,2541,37.66,166.57,34.74,153.68,34.74,153.68,7.58,7.32,5.28,0,26692,24214,46.53,22.32,26.29,26.29,442.25,0,3617,2473,0,4056,719,28854,28854,22994,4353,0,7470,5860,0,24214,287,24501,0,4212,0,201
Dec-11,0,87.97,112.26,267.66,426.85,426.85,0,249,13665,11297,15165,125.14,52.04,345.9562378,1016,0,5.28,230,0,122.22,60,47.96,53.46,18,6.78,46.54,0.03,4175,172124.45,287,10765,23960,4305,5,0,0,0,0,0,0,7.32,-3642,3235,4270,3868,25.38,2235,8821,112.25,1325,1325,0,1880,1120,422,0,0,1500,2235,3146,3146,2724,3146,37.66,166.57,34.74,153.68,34.74,153.68,7.58,7.32,5.28,0,24214,24214,46.53,22.32,26.29,26.29,442.25,0,3617,2473,0,4056,911,28854,28854,22994,4353,0,8696,5860,0,24214,287,24501,0,4212,0,198
Mar-12,110,87.26,147.51,267.66,518.41,518.41,0,588,18057,15165,19557,161.39,70.87,358.2875061,1024,0,4.88,189,0,147.5,47,29.13,31.86,12.31,4.68,68.14,0.05,4051,146391.13,287,13532,31187,4649,60,0,0,0,0,0,0,5.26,-2298,565,5955,4392,27.1,2759,11096,147.56,1409,1409,0,2454,1057,609,0,0,1513,2275,3111,3111,2502,3111,38.04,207.14,35.5,193.31,37.05,201.74,5.53,5.26,4.88,0,24214,29470,68.13,23.64,28.46,28.46,544.49,0,4594,3604,0,4061,836,35815,35815,29568,6058,0,8183,6247,0,29470,287,29757,0,5404,0,204
Jun-12,110,87.26,147.51,267.66,518.41,518.41,0,588,18057,15165,19557,161.39,70.87,313.6499939,1024,0,4.88,189,0,147.5,47,29.13,31.86,12.31,4.68,68.14,0.05,4765,146391.13,287,13532,31187,4649,60,0,0,0,0,0,0,5.26,-2298,565,5955,4392,27.1,2204,11096,147.56,1409,1409,0,2454,889,459,0,0,1513,2204,3047,3047,2588,3047,38.04,207.14,35.5,193.31,37.05,201.74,5.53,5.26,4.88,0,29470,29470,68.13,23.64,28.46,28.46,544.49,0,4594,3604,0,4061,843,35815,35815,29568,6058,0,8909,6247,0,29470,287,29757,0,5404,0,214
