Year,Adjustments On Amalgamation Merger Demerger Others,Asset Turnover Ratio (%),Basic EPS (Rs.),Bonus Equity Share Capital,Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Capital Goods,Capital Work-In-Progress,Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year,Cash EPS (Rs.),Cash Earnings Retention Ratio (%),Close,Contingent Liabilities,Current Investments,Current Ratio (X),Deferred Tax Assets [Net],Deferred Tax Liabilities [Net],Diluted EPS (Rs.),Dividend / Share(Rs.),Dividend Payout Ratio (CP) (%),Dividend Payout Ratio (NP) (%),EV/EBITDA (X),EV/Net Operating Revenue (X),Earnings Retention Ratio (%),Earnings Yield,Employees Cost,Enterprise Value (Cr.),Equity Share Capital,Expenditure In Foreign Currency,Fixed Assets,Foreign Exchange Gains / Losses,Increase/Decrease in Stocks,Intangible Assets,Interest,Inventories,Inventory Turnover Ratio (X),Long Term Borrowings,Long Term Loans And Advances,Long Term Provisions,MarketCap/Net Operating Revenue (X),Net Cash Used From Financing Activities,Net Cash Used In Investing Activities,Net CashFlow From Operating Activities,Net Inc/Dec In Cash And Cash Equivalents,Net Profit Margin (%),Net Profit/(Loss) For the Period,Net Profit/Loss Before Extraordinary Items And Tax,Net Profit/Share (Rs.),Non-Current Investments,Non-Current Investments Unquoted Book Value,Other Assets,Other Current Liabilities,Other Earnings,Other Expenses,Other Income,Other Long Term Liabilities,Other Non-Current Assets,OtherCurrentAssets,P/L After Tax from Ordinary Activities,P/L Before Exceptional Items & Tax,"P/L Before Int., Excpt. Items & Tax","P/L Before Other Inc. , Int., Excpt. Items & Tax",P/L Before Tax,PBDIT Margin (%),PBDIT/Share (Rs.),PBIT Margin (%),PBIT/Share (Rs.),PBT Margin (%),PBT/Share (Rs.),Price/BV (X),Price/Net Operating Revenue,Quick Ratio (X),Raw Materials,Reserves and Surplus,Retention Ratios (%),Return on Assets (%),Return on Capital Employed (%),Return on Networth / Equity (%),Revenue from Operations/Share (Rs.),Short Term Borrowings,Short Term Loans And Advances,Short Term Provisions,"Stores, Spares And Loose Tools",Tangible Assets,Tax,Total Assets,Total Capital And Liabilities,Total Current Assets,Total Current Liabilities,Total Debt/Equity (X),Total Income From Operations,Total Non-Current Assets,Total Non-Current Liabilities,Total Reserves and Surplus,Total Share Capital,Total Shareholders Funds,Trade Payables,Trade Receivables,Trade/Other Goods,depreciat
Sep-11,2.8,77.08,19.88,475.82,86.88,86.88,23.1,396.4,5203.3,5664.3,5203.3,22.18,72.95,127.8000336,1677.9,4795,2.1,10.8,0,19.78,6,27.05,30.4,18.14,4.44,69.6,0.04,3269.7,116882.32,491.5,8854.31,4633.4,32.3,124.2,132.5,229.8,724.9,36.28,1935.4,962.7,273.7,4.46,-2733.3,-1474,3711.2,-461,18.41,1050.6,5705.5,19.74,6018.4,6018.4,0,1245.4,28.8,962.6,206.7,265.9,782.3,2724.2,1050.6,1300.1,1529.9,1323.2,1300.1,24.49,26.25,22.21,23.8,21.69,23.25,5.51,4.46,2.03,2735.8,20829.4,69.59,14.19,20.35,22.71,107.17,2775.4,2483.5,2693.9,0,4104.5,249.5,34119.8,34119.8,21712.2,10324.6,0.22,7804.8,12407.6,2475,20829.4,490.8,21320.2,3609.9,5781.3,0,191.2
Dec-11,2.8,77.08,19.88,475.82,86.88,86.88,23.1,396.4,5203.3,5664.3,5203.3,22.18,72.95,149.5125427,1677.9,4795,2.1,10.8,0,19.78,6,27.05,30.4,18.14,4.44,69.6,0.04,3502.1,116882.32,491.6,8854.31,4633.4,32.3,-13.3,132.5,200.6,724.9,36.28,1935.4,962.7,273.7,4.46,-2733.3,-1474,3711.2,-461,18.41,1063.9,5705.5,19.74,6018.4,6018.4,0,1245.4,28.8,1029.7,199.1,265.9,782.3,2724.2,1063.9,1401.6,1602.2,1403.1,1401.6,24.49,26.25,22.21,23.8,21.69,23.25,5.51,4.46,2.03,2735.8,20829.4,69.59,14.19,20.35,22.71,107.17,2775.4,2483.5,2693.9,0,4104.5,337.7,34119.8,34119.8,21712.2,10324.6,0.22,8316.5,12407.6,2475,20829.4,490.8,21320.2,3609.9,5781.3,0,187.5
Mar-12,0,82.08,19.13,475.82,99.05,99.05,39.4,301.2,6232.8,5203.3,6232.8,22.09,72.84,165.0375366,2820.5,4040.9,2.17,32.6,5.8,19.09,6,27.16,31.48,14.71,3.38,68.52,0.04,3500,106938.55,491.7,9978.22,4951,95.2,60.1,453.7,96.4,785.1,40.36,2202.2,940.4,259.3,3.41,-1723.8,-339.8,2997.9,1029.5,14.78,1351.3,5918.6,19.06,6294.3,6294.3,0,2050.7,21.9,2221.7,240.5,35.5,919.4,3111.3,1351.3,1719,1815.4,1574.9,1719,22.94,29.57,20.59,26.54,18.68,24.07,4.43,3.41,2.1,2298.2,23860.8,68.51,12.13,17.44,19.23,128.87,3041,3321.1,2756.7,0,4196.1,367.7,38595.9,38595.9,25458.2,11740.6,0.22,8621,13137.7,2502.8,23860.8,491.7,24352.5,3892.2,7967,0,193.4
Jun-12,0,82.08,19.13,475.82,99.05,99.05,39.4,301.2,6232.8,5203.3,6232.8,22.09,72.84,149.9625397,2820.5,4040.9,2.17,32.6,5.8,19.09,6,27.16,31.48,14.71,3.38,68.52,0.04,3918.6,106938.55,492,9978.22,4951,95.2,-50.5,453.7,111.1,785.1,40.36,2202.2,940.4,259.3,3.41,-1723.8,-339.8,2997.9,1029.5,14.78,1158,5918.6,19.06,6294.3,6294.3,0,2050.7,21.9,2051.1,-5.1,35.5,919.4,3111.3,1158,1535.5,1646.6,1651.7,1535.5,22.94,29.57,20.59,26.54,18.68,24.07,4.43,3.41,2.1,2298.2,23860.8,68.51,12.13,17.44,19.23,128.87,3041,3321.1,2756.7,0,4196.1,377.5,38595.9,38595.9,25458.2,11740.6,0.22,8932.6,13137.7,2502.8,23860.8,491.7,24352.5,3892.2,7967,0,191.5
Sep-12,0,82.08,19.13,475.82,99.05,99.05,39.4,301.2,6232.8,5203.3,6232.8,22.09,72.84,142.8937836,2820.5,4040.9,2.17,32.6,5.8,19.09,6,27.16,31.48,14.71,3.38,68.52,0.04,3987.8,106938.55,492.3,9978.22,4951,95.2,-44.8,453.7,71.8,785.1,40.36,2202.2,940.4,259.3,3.41,-1723.8,-339.8,2997.9,1029.5,14.78,1719.3,5918.6,19.06,6294.3,6294.3,0,2050.7,21.9,2041.9,497.1,35.5,919.4,3111.3,1719.3,2196.2,2268,1770.9,2196.2,22.94,29.57,20.59,26.54,18.68,24.07,4.43,3.41,2.1,2298.2,23860.8,68.51,12.13,17.44,19.23,128.87,3041,3321.1,2756.7,0,4196.1,476.9,38595.9,38595.9,25458.2,11740.6,0.22,9082,13137.7,2502.8,23860.8,491.7,24352.5,3892.2,7967,0,197.2
Dec-12,0,82.08,19.13,475.82,99.05,99.05,39.4,301.2,6232.8,5203.3,6232.8,22.09,72.84,147.9375305,2820.5,4040.9,2.17,32.6,5.8,19.09,6,27.16,31.48,14.71,3.38,68.52,0.04,4072.4,106938.55,492.5,9978.22,4951,95.2,82.2,453.7,80,785.1,40.36,2202.2,940.4,259.3,3.41,-1723.8,-339.8,2997.9,1029.5,14.78,1483,5918.6,19.06,6294.3,6294.3,0,2050.7,21.9,2082.1,218.1,35.5,919.4,3111.3,1483,1910.6,1990.6,1772.5,1910.6,22.94,29.57,20.59,26.54,18.68,24.07,4.43,3.41,2.1,2298.2,23860.8,68.51,12.13,17.44,19.23,128.87,3041,3321.1,2756.7,0,4196.1,427.6,38595.9,38595.9,25458.2,11740.6,0.22,9362.6,13137.7,2502.8,23860.8,491.7,24352.5,3892.2,7967,0,186.9
Mar-13,0,81.62,23.03,475.82,98.37,98.37,0,378.9,7800.4,6232.7,7800.4,25.79,72.85,163.9312897,2657.8,6049.5,1.76,115.1,52.8,22.99,7,27.15,30.52,12.58,3.13,69.48,0.05,4083.8,103915.65,492.6,12068.52,4288.3,27.1,13.5,353.4,89.5,320.5,103.67,59,2516.8,228.9,3.24,-1005.5,-3573.1,6119.2,1567.7,17,1482.4,7205.1,22.94,4854.7,4854.7,0,3805.4,26.4,2069,322.4,11.8,546.9,3590.6,1482.4,1790.8,1880.3,1557.9,1790.8,24.85,33.53,22.74,30.68,21.68,29.25,4.44,3.24,1.74,2101.7,23736.9,69.47,13.88,22.98,23.31,134.9,3987,2124.4,3409.4,0,3556,308.4,40706.6,40706.6,28384.8,16124.6,0.17,8566.3,12321.8,352.5,23736.9,492.6,24229.5,4922.8,8499.4,0,172.3
Jun-13,0,81.62,23.03,475.82,98.37,98.37,0,378.9,7800.4,6232.7,7800.4,25.79,72.85,130.8750305,2657.8,6049.5,1.76,115.1,52.8,22.99,7,27.15,30.52,12.58,3.13,69.48,0.05,4301.5,103915.65,492.8,12068.52,4288.3,27.1,-31.9,353.4,87,320.5,103.67,59,2516.8,228.9,3.24,-1005.5,-3573.1,6119.2,1567.7,17,1306,7205.1,22.94,4854.7,4854.7,0,3805.4,26.4,2029.7,121.2,11.8,546.9,3590.6,1306,1732.1,1819.1,1697.9,1732.1,24.85,33.53,22.74,30.68,21.68,29.25,4.44,3.24,1.74,2101.7,23736.9,69.47,13.88,22.98,23.31,134.9,3987,2124.4,3409.4,0,3556,426.1,40706.6,40706.6,28384.8,16124.6,0.17,8741.4,12321.8,352.5,23736.9,492.6,24229.5,4922.8,8499.4,0,175.4
Sep-13,0,81.62,23.03,475.82,98.37,98.37,0,378.9,7800.4,6232.7,7800.4,25.79,72.85,177.3937988,2657.8,6049.5,1.76,115.1,52.8,22.99,7,27.15,30.52,12.58,3.13,69.48,0.05,4653.5,103915.65,493,12068.52,4288.3,27.1,23,353.4,101,320.5,103.67,59,2516.8,228.9,3.24,-1005.5,-3573.1,6119.2,1567.7,17,1616.4,7205.1,22.94,4854.7,4854.7,0,3805.4,26.4,2240.4,119.9,11.8,546.9,3590.6,1616.4,2176.7,2277.7,2157.8,2176.7,24.85,33.53,22.74,30.68,21.68,29.25,4.44,3.24,1.74,2101.7,23736.9,69.47,13.88,22.98,23.31,134.9,3987,2124.4,3409.4,0,3556,560.3,40706.6,40706.6,28384.8,16124.6,0.17,9806.5,12321.8,352.5,23736.9,492.6,24229.5,4922.8,8499.4,0,177.1
Dec-13,0,81.62,23.03,475.82,98.37,98.37,0,378.9,7800.4,6232.7,7800.4,25.79,72.85,209.700058,2657.8,6049.5,1.76,115.1,52.8,22.99,7,27.15,30.52,12.58,3.13,69.48,0.05,4648.2,103915.65,493.1,12068.52,4288.3,27.1,-41,353.4,92.4,320.5,103.67,59,2516.8,228.9,3.24,-1005.5,-3573.1,6119.2,1567.7,17,2047.9,7205.1,22.94,4854.7,4854.7,0,3805.4,26.4,2326.2,441.1,11.8,546.9,3590.6,2047.9,2656.3,2748.7,2307.6,2656.3,24.85,33.53,22.74,30.68,21.68,29.25,4.44,3.24,1.74,2101.7,23736.9,69.47,13.88,22.98,23.31,134.9,3987,2124.4,3409.4,0,3556,608.4,40706.6,40706.6,28384.8,16124.6,0.17,10069.1,12321.8,352.5,23736.9,492.6,24229.5,4922.8,8499.4,0,187.3
Mar-14,64.2,84.73,30.09,475.82,119.04,119.04,0.1,275.1,10554.9,7800.4,10554.9,32.94,75.71,203.7000427,2793.4,5839.2,2.19,148.7,137.9,30.01,8,24.29,26.71,11.92,3.3,73.29,0.06,4653.8,127760.56,493.2,14789.73,4250.1,-49.3,51,353.5,94.3,228.3,169.76,1006.1,2998.1,258.5,3.45,-4088.6,239.6,6588.6,2754.5,19.06,2353.1,9608.2,29.96,5196.8,5196.8,0,2401.3,28,2237.9,520.2,62.9,539,4501.6,2353.1,2964.2,3058.5,2538.3,2964.2,27.65,43.47,25.75,40.48,24.79,38.96,4.56,3.45,2.17,1524.2,28862.7,73.28,16.15,23.96,25.16,157.17,3504.2,2929.3,3619.6,0,3621.5,611.1,45736.9,45736.9,32604.2,14915.6,0.15,10401.8,13132.7,1465.4,28862.7,493.2,29355.9,5390.5,8550.9,0,194
Jun-14,64.2,84.73,30.09,475.82,119.04,119.04,0.1,275.1,10554.9,7800.4,10554.9,32.94,75.71,204.9000549,2793.4,5839.2,2.19,148.7,137.9,30.01,8,24.29,26.71,11.92,3.3,73.29,0.06,4776.5,127760.56,493.4,14789.73,4250.1,-49.3,-6.4,353.5,81.9,228.3,169.76,1006.1,2998.1,258.5,3.45,-4088.6,239.6,6588.6,2754.5,19.06,2067.2,9608.2,29.96,5196.8,5196.8,0,2401.3,28,2339.8,470.4,62.9,539,4501.6,2067.2,2643.4,2725.3,2254.9,2643.4,27.65,43.47,25.75,40.48,24.79,38.96,4.56,3.45,2.17,1524.2,28862.7,73.28,16.15,23.96,25.16,157.17,3504.2,2929.3,3619.6,0,3621.5,576.2,45736.9,45736.9,32604.2,14915.6,0.15,10104.1,13132.7,1465.4,28862.7,493.2,29355.9,5390.5,8550.9,0,187
Sep-14,64.2,84.73,30.09,475.82,119.04,119.04,0.1,275.1,10554.9,7800.4,10554.9,32.94,75.71,223.8000488,2793.4,5839.2,2.19,148.7,137.9,30.01,8,24.29,26.71,11.92,3.3,73.29,0.06,4997.4,127760.56,493.5,14789.73,4250.1,-49.3,-36.1,353.5,49.4,228.3,169.76,1006.1,2998.1,258.5,3.45,-4088.6,239.6,6588.6,2754.5,19.06,1992,9608.2,29.96,5196.8,5196.8,0,2401.3,28,2485.5,467,62.9,539,4501.6,1992,2590.4,2639.8,2172.8,2590.4,27.65,43.47,25.75,40.48,24.79,38.96,4.56,3.45,2.17,1524.2,28862.7,73.28,16.15,23.96,25.16,157.17,3504.2,2929.3,3619.6,0,3621.5,598.4,45736.9,45736.9,32604.2,14915.6,0.15,10358.2,13132.7,1465.4,28862.7,493.2,29355.9,5390.5,8550.9,0,190.1
Dec-14,64.2,84.73,30.09,475.82,119.04,119.04,0.1,275.1,10554.9,7800.4,10554.9,32.94,75.71,208.200058,2793.4,5839.2,2.19,148.7,137.9,30.01,8,24.29,26.71,11.92,3.3,73.29,0.06,4974.6,127760.56,493.7,14789.73,4250.1,-49.3,-166.2,353.5,145,228.3,169.76,1006.1,2998.1,258.5,3.45,-4088.6,239.6,6588.6,2754.5,19.06,1992.3,9608.2,29.96,5196.8,5196.8,0,2401.3,28,2699.5,557.6,62.9,539,4501.6,1992.3,2588.6,2733.6,2176,2588.6,27.65,43.47,25.75,40.48,24.79,38.96,4.56,3.45,2.17,1524.2,28862.7,73.28,16.15,23.96,25.16,157.17,3504.2,2929.3,3619.6,0,3621.5,596.3,45736.9,45736.9,32604.2,14915.6,0.15,10521.2,13132.7,1465.4,28862.7,493.2,29355.9,5390.5,8550.9,0,200.4
Mar-15,0,77.15,33.38,475.82,140.25,140.25,20,361.2,15667.5,10554.9,14942.5,36.34,66.97,235.8188019,3022.2,5188.8,2.3,165.9,56.7,33.28,12,33.03,36.17,12.42,3.53,63.83,0.05,4977.7,145338.53,493.7,19430.8,4399.6,15.1,-45.6,468.4,86.6,479.4,85.96,1063.2,3071,273.6,3.76,-1836.1,-1495,7703.6,4387.6,19.88,2141.6,10557,33.19,5579.7,5579.7,0,2551.1,90.6,2554,578.8,28.1,336.8,5119.5,2141.6,2734.6,2821.2,2242.4,2734.6,28.38,47.39,26.49,44.24,25.61,42.77,4.48,3.76,2.27,851.3,34127.9,63.82,15.34,22.73,23.66,166.94,4970.4,5256.1,4115,0,3570,593,53408.5,53408.5,39855.5,17365.3,0.17,10651.5,13553,1421.6,34127.9,493.7,34621.6,5728.8,8144.2,0,200.9
