0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Dec '11,--,2191.18,,--,--,--,--,991.59,86.26,--,--,--,--,--,516.00,597.33,25.35,622.68,22.14,600.54,--,600.54,106.57,493.97,--,--,493.97,138.15,5854.87,--,,7.16,7.03,,7.16,7.03,,24.74,35.82,,,--,--,--,,44.33,100.00,64.18
Mar '12,--,2164.72,,--,--,--,--,989.06,89.84,--,--,--,--,--,595.87,489.95,31.55,521.50,28.92,492.58,--,492.58,92.43,400.15,--,--,400.15,138.47,6342.06,--,,5.78,5.68,,5.78,5.68,,25.08,36.23,,,--,--,--,,44.15,100.00,63.77
Jun '12,--,2572.10,,--,--,--,--,1011.19,94.89,--,--,--,--,--,688.92,777.10,38.21,815.31,23.92,791.39,--,791.39,132.64,658.75,--,--,658.75,138.66,6465.15,--,,9.51,9.33,,9.51,9.33,,26.18,37.76,,,--,--,--,,43.15,100.00,62.24
Sep '12,--,2696.72,,--,--,--,--,1113.40,100.56,--,--,--,--,--,637.96,844.80,43.70,888.50,22.84,865.66,--,865.66,165.82,699.84,--,--,699.84,138.81,7326.83,--,,10.09,9.90,,10.09,9.90,,26.25,37.82,,,--,--,--,,43.15,100.00,62.18
Dec '12,--,2766.22,,--,--,--,--,1096.06,103.84,--,--,--,--,--,644.13,922.19,39.92,962.11,19.66,942.45,--,942.45,217.73,724.72,--,--,724.72,138.91,7850.69,--,,10.44,10.24,,10.44,10.24,,26.30,37.87,,,--,--,--,,43.15,100.00,62.13
Mar '13,--,2943.69,,--,--,--,--,1143.56,102.84,--,--,--,--,--,760.24,937.05,60.37,997.42,19.96,977.46,--,977.46,144.50,832.96,--,--,832.96,139.22,8677.47,--,,11.99,11.75,,11.99,11.75,,26.46,38.01,,,--,--,--,,43.15,100.00,61.99
Jun '13,--,4111.19,,--,--,--,--,1275.59,134.66,--,--,--,--,--,1195.82,1505.12,174.51,1679.63,14.00,1665.63,93.54,1759.17,311.96,1447.21,--,--,1447.21,139.37,10093.36,--,,20.78,20.47,,20.78,20.47,,26.54,38.08,,,--,--,--,,43.15,100.00,61.92
Sep '13,--,3843.81,,--,--,--,--,1286.78,124.31,--,--,--,--,--,934.01,1498.71,114.27,1612.98,18.47,1594.51,--,1594.51,303.54,1290.97,--,--,1290.97,139.56,10935.27,--,,18.52,18.22,,18.52,18.22,,26.63,38.16,,,--,--,--,,43.15,100.00,61.84
Dec '13,--,3836.21,,--,--,--,--,1261.07,120.11,--,--,--,--,--,1012.66,1442.37,139.65,1582.02,21.54,1560.48,--,1560.48,262.61,1297.87,--,--,1297.87,139.77,12158.35,--,,18.58,18.34,,18.58,18.34,,26.73,38.25,,,--,--,--,,43.15,100.00,61.75
Mar '14,--,4045.91,,--,--,--,--,1269.09,119.04,--,--,--,--,--,1065.65,1592.13,169.93,1762.06,19.18,1742.88,--,1742.88,330.34,1412.54,--,--,1412.54,139.88,13513.59,--,,20.20,19.96,,20.20,19.96,,26.79,38.31,,,--,--,--,,43.15,100.00,61.69
Jun '14,--,4771.44,,--,--,--,--,1307.01,127.24,--,--,--,--,--,1050.21,2286.98,235.27,2522.25,22.46,2499.79,--,2499.79,516.55,1983.24,--,--,1983.24,140.00,15605.61,--,,28.34,28.02,,28.34,28.02,,26.85,38.36,,,--,--,--,,43.15,100.00,61.64
Sep '14,--,4054.40,,--,--,--,--,1368.13,69.35,--,--,--,--,--,888.87,1728.05,365.08,2093.13,21.49,2071.64,--,2071.64,389.08,1682.56,--,--,1682.56,140.26,15866.07,--,,24.02,23.80,,24.02,23.80,,26.98,38.47,,,--,--,--,,43.15,100.00,61.53
Dec '14,--,4247.59,,--,--,--,--,1457.59,72.28,--,--,--,--,--,924.99,1792.73,253.08,2045.81,12.47,2033.34,--,2033.34,369.87,1663.47,--,--,1663.47,140.47,16866.69,--,,23.71,23.57,,23.71,23.57,,27.09,38.57,,,--,--,--,,43.15,100.00,61.43
Mar '15,--,4385.95,,--,--,--,--,1535.66,74.52,--,--,--,--,--,1101.37,1674.40,251.97,1926.37,12.21,1914.16,--,1914.16,349.42,1564.74,--,--,1564.74,281.14,17696.73,--,,11.13,11.08,,11.13,11.08,,55.40,39.41,,,--,--,--,,85.17,100.00,60.59
Jun '15,--,4465.50,,--,111.33,-25.39,--,1563.24,83.77,--,--,--,--,--,1243.30,1489.25,204.61,1693.86,14.47,1679.39,--,1679.39,244.22,1435.17,--,--,1435.17,281.20,19124.53,--,,10.21,10.15,,10.21,10.15,,55.43,39.42,,,--,--,--,,85.17,100.00,60.58
