0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Dec '19,104.28,2926.20,,695.30,370.34,21.48,--,474.11,143.14,--,--,--,--,--,928.03,293.80,73.28,367.08,9.55,357.53,--,357.53,75.31,282.22,--,--,282.22,161.25,--,--,,3.50,3.50,,3.50,3.50,,--,--,,,--,--,--,,--,--,--
Mar '20,91.43,3133.44,,766.36,344.70,106.56,--,477.28,160.42,--,--,--,--,--,973.74,304.38,413.41,717.79,9.24,708.55,--,708.55,103.98,604.57,--,--,604.57,161.25,--,--,,7.50,7.49,,7.50,7.49,,--,--,,,--,--,--,,--,--,--
Jun '20,92.30,3128.02,,758.79,461.57,-195.55,--,469.47,143.73,--,--,--,--,--,689.00,801.01,45.66,846.67,14.21,832.46,--,832.46,222.16,610.30,--,--,610.30,161.25,--,--,,7.57,7.56,,7.57,7.56,,--,--,,,--,--,--,,--,--,--
Sep '20,96.86,3807.89,,917.99,601.98,-119.39,--,512.87,140.80,--,--,--,--,--,763.47,990.17,39.17,1029.34,11.69,1017.65,--,1017.65,272.01,745.64,--,--,745.64,161.27,--,--,,9.25,9.23,,9.25,9.23,,--,--,,,--,--,--,,--,--,--
Dec '20,41.67,3731.55,,872.53,434.64,129.55,--,553.50,134.57,--,--,--,--,--,745.18,861.58,96.12,957.70,10.33,947.37,--,947.37,248.44,698.93,--,--,698.93,161.29,--,--,,8.67,8.65,,8.67,8.65,,--,--,,,--,--,--,,--,--,--
Mar '21,59.73,3233.12,,712.98,349.66,175.46,--,503.04,137.01,--,--,--,--,--,842.28,512.69,49.33,562.02,8.84,553.18,--,553.18,139.77,413.41,--,--,413.41,161.29,--,--,,5.13,5.12,,5.13,5.12,,--,--,,,--,--,--,,--,--,--
Jun '21,69.08,4017.41,,990.38,1101.85,-599.21,--,530.27,136.98,--,--,--,--,--,848.63,1008.51,79.66,1088.17,8.00,1080.17,--,1080.17,288.40,791.77,--,--,791.77,161.32,--,--,,9.82,9.80,,9.82,9.80,,--,--,,,--,--,--,,--,--,--
Sep '21,76.21,3935.03,,1061.64,643.66,-176.78,--,538.20,138.97,--,--,--,--,--,885.49,843.85,197.73,1041.58,7.60,1033.98,--,1033.98,251.61,782.37,--,--,782.37,161.33,--,--,,9.70,9.68,,9.70,9.68,,--,--,,,--,--,--,,--,--,--
Dec '21,--,3954.79,,1069.56,578.40,-158.27,--,524.86,133.95,--,--,--,--,--,900.26,906.03,73.00,979.03,5.55,973.48,--,973.48,242.65,730.83,--,--,730.83,161.36,--,--,,9.06,9.05,,9.06,9.05,,--,--,,,--,--,--,,--,--,--
Mar '22,64.53,2946.61,,369.54,526.94,405.69,--,429.00,116.82,--,--,--,--,--,827.79,270.83,316.31,587.14,5.78,581.36,--,581.36,105.06,476.30,--,176.66,652.96,161.36,--,--,,8.09,8.09,,8.09,8.09,,--,--,,,--,--,--,,--,--,--
Jun '22,87.30,3157.13,,730.18,453.77,-38.88,--,484.77,107.46,--,--,--,--,--,669.91,749.92,117.68,867.60,2.21,865.39,--,865.39,221.39,644.00,--,115.16,759.16,161.38,--,--,,7.98,7.97,,7.98,7.97,,--,--,,,--,--,--,,--,--,--
Sep '22,405.21,4151.27,,997.51,535.62,-11.79,--,599.14,176.01,--,--,--,--,--,969.74,885.04,92.28,977.32,7.50,969.82,--,969.82,264.63,705.19,--,15.11,720.30,161.40,--,--,,8.74,8.73,,0.19,0.19,,--,--,,,--,--,--,,--,--,--
Dec '22,358.29,3899.45,,753.93,552.08,52.74,--,591.25,129.96,--,--,--,--,--,1011.34,808.15,127.12,935.27,6.85,928.42,--,928.42,249.90,678.52,--,--,678.52,161.43,--,--,,8.41,8.40,,8.41,8.40,,--,--,,,--,--,--,,--,--,--
Mar '23,408.06,3893.74,,757.67,451.92,203.19,--,595.33,161.58,--,--,--,--,--,1085.85,638.20,119.71,757.91,10.46,747.45,-185.90,561.55,206.06,355.49,--,--,355.49,161.43,--,--,,4.40,4.40,,4.40,4.40,,--,--,,,--,--,--,,--,--,--
Jun '23,460.46,4318.19,,887.06,701.05,-133.79,--,661.83,135.95,--,--,--,--,--,997.35,1068.74,157.98,1226.72,0.31,1226.41,--,1226.41,331.39,895.02,--,--,895.02,161.45,--,--,,11.09,11.08,,11.09,11.08,,--,--,,,--,--,--,,--,--,--
Sep '23,497.98,4664.72,,1001.21,654.61,-138.74,--,694.71,179.81,--,--,--,--,--,1073.81,1199.31,205.09,1404.40,7.80,1396.60,--,1396.60,366.91,1029.69,--,--,1029.69,161.47,--,--,,12.76,12.75,,12.76,12.75,,--,--,,,--,--,--,,--,--,--
Dec '23,--,4381.33,,677.74,537.32,150.36,--,648.22,135.02,--,--,--,--,--,1011.83,1220.84,168.98,1389.82,9.06,1380.76,--,1380.76,363.00,1017.76,--,96.38,1114.14,161.47,--,--,,13.80,13.79,,13.80,13.79,,--,--,,,--,--,--,,--,--,--
Mar '24,591.74,4036.66,,517.24,467.43,176.94,--,662.15,136.81,--,--,--,--,--,1385.01,691.08,538.61,1229.69,5.45,1224.24,--,1224.24,242.21,982.03,--,56.37,1038.40,161.47,--,--,,12.86,12.85,,12.86,12.85,,--,--,,,--,--,--,,--,--,--
Jun '24,748.80,4501.05,,803.59,572.08,-78.11,--,763.91,137.86,--,--,--,--,--,1079.72,1222.00,213.52,1435.52,5.07,1430.45,--,1430.45,374.51,1055.94,--,--,1055.94,161.50,--,--,,13.08,13.07,,13.08,13.07,,--,--,,,--,--,--,,--,--,--
