0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Dec '11,--,10544.03,,--,--,--,--,3644.81,172.82,--,--,--,--,--,3648.17,3078.23,763.84,3842.07,3.14,3838.93,--,3838.93,670.83,3168.10,--,--,3168.10,195.72,--,--,,16.17,16.17,,16.17,16.17,,50.74,25.92,,,8.31,5.73,4.25,,136.68,94.27,69.83
Mar '12,--,10371.71,,--,--,--,--,3793.53,184.22,--,--,--,--,--,3537.96,2856.00,243.46,3099.46,2.43,3097.03,--,3097.03,538.69,2558.34,--,--,2558.34,195.72,--,--,,12.99,12.99,,12.99,12.99,,50.93,26.02,,,7.95,5.49,4.06,,136.84,94.51,69.92
Jun '12,--,11410.65,,--,--,--,--,4032.97,181.79,--,--,--,--,--,3925.83,3270.06,169.26,3439.32,4.26,3435.06,--,3435.06,637.47,2797.59,--,--,2797.59,195.72,--,--,,14.26,14.26,,14.26,14.26,,50.93,26.02,,,7.95,5.49,4.06,,136.84,94.51,69.92
Sep '12,--,11925.56,,--,--,--,--,4205.87,196.93,--,--,--,--,--,4144.48,3378.28,1148.69,4526.97,13.29,4513.68,--,4513.68,790.92,3722.76,--,--,3722.76,195.72,--,--,,18.99,18.99,,18.99,18.99,,50.97,26.04,,,7.75,5.35,3.96,,137.01,94.65,70.00
Dec '12,--,12366.95,,--,--,--,--,4379.89,202.02,--,--,--,--,--,4315.69,3469.35,455.40,3924.75,3.81,3920.94,--,3920.94,703.83,3217.11,--,--,3217.11,195.72,--,--,,16.40,16.40,,16.40,16.40,,50.97,26.04,,,7.24,5.00,3.70,,137.52,95.00,70.26
Mar '13,--,12649.40,,--,--,--,--,4448.53,214.63,--,--,--,--,--,4635.84,3350.40,453.55,3803.95,9.21,3794.74,--,3794.74,779.96,3014.78,--,--,3014.78,195.72,--,--,,15.37,15.37,,15.37,15.37,,50.97,26.04,,,6.93,4.78,3.54,,137.83,95.22,70.42
Jun '13,--,13944.08,,--,--,--,--,5007.31,226.43,--,--,--,--,--,4766.94,3943.40,275.08,4218.48,5.02,4213.46,--,4213.46,915.71,3297.75,--,--,3297.75,195.72,--,--,,16.82,16.82,,16.82,16.82,,50.97,26.04,,,4.50,3.11,2.30,,140.25,96.89,71.66
Sep '13,--,16607.72,,--,--,--,--,5428.79,261.74,--,--,--,--,--,5430.48,5486.71,1513.63,7000.34,9.83,6990.51,--,6990.51,1382.76,5607.75,--,--,5607.75,195.87,--,--,,28.60,28.60,,28.60,28.60,,50.97,26.04,,,3.52,2.43,1.80,,141.23,97.57,72.16
Dec '13,--,16692.65,,--,--,--,--,5430.93,280.36,--,--,--,--,--,5482.53,5498.83,653.13,6151.96,4.00,6147.96,--,6147.96,1371.20,4776.76,--,--,4776.76,195.87,--,--,,24.36,24.36,,24.36,24.36,,51.13,26.10,,,2.65,1.83,1.35,,142.09,98.17,72.55
Mar '14,--,16893.91,,--,--,--,--,5354.04,297.21,--,--,--,--,--,5974.83,5267.83,685.89,5953.72,4.55,5949.17,--,5949.17,1320.65,4628.52,--,--,4628.52,195.87,--,--,,23.54,23.54,,23.54,23.54,,51.13,26.10,,,2.61,1.80,1.33,,142.13,98.20,72.57
Jun '14,--,17438.43,,--,--,--,--,6024.84,335.26,--,--,--,--,--,5925.38,5152.95,798.96,5951.91,3.73,5948.18,527.76,6475.94,1379.07,5096.87,--,--,5096.87,195.87,--,--,,26.02,26.02,,26.02,26.02,,51.13,26.10,,,3.21,2.22,1.64,,141.53,97.78,72.26
Sep '14,--,18405.05,,--,--,--,--,6260.67,340.71,--,--,--,--,--,6243.00,5560.67,865.17,6425.84,58.14,6367.70,--,6367.70,1376.02,4991.68,--,--,4991.68,195.87,--,--,,25.48,25.48,,25.48,25.48,,51.13,26.10,,,2.87,1.98,1.46,,141.87,98.02,72.44
Dec '14,--,18936.35,,--,--,--,--,6440.38,350.51,--,--,--,--,--,6354.75,5790.71,1503.16,7293.87,12.54,7281.33,--,7281.33,1570.18,5711.15,--,--,5711.15,195.87,--,--,,29.16,29.16,,29.16,29.16,,51.13,26.10,,,2.86,1.98,1.46,,141.88,98.02,72.44
Mar '15,--,18798.23,,--,--,--,--,8642.43,367.29,--,--,--,--,--,6658.41,3130.10,1299.44,4429.54,5.16,4424.38,0.62,4425.00,967.74,3457.26,--,--,3457.26,195.87,--,--,,17.65,17.65,,17.65,17.65,,51.13,26.10,,,2.86,1.98,1.46,,141.88,98.02,72.44
Jun '15,--,20349.00,,--,--,--,--,10104.00,348.00,--,--,--,--,--,3752.00,6145.00,991.00,7136.00,1.00,7135.00,--,7135.00,1502.00,5633.00,--,--,5633.00,197.04,--,--,,28.59,28.59,,28.59,28.59,,51.20,26.14,,,2.86,1.98,1.46,,141.82,98.02,72.40
Sep '15,--,21636.00,,--,--,--,--,10318.00,362.00,--,--,--,--,--,4247.00,6709.00,679.00,7388.00,3.00,7385.00,--,7385.00,1662.00,5723.00,--,--,5723.00,197.04,--,--,,29.04,29.04,,29.04,29.04,,--,--,,,--,--,--,,--,--,--
Dec '15,--,21621.00,,--,--,--,--,10809.00,365.00,--,--,--,--,--,4020.00,6427.00,1147.00,7574.00,5.00,7569.00,--,7569.00,1578.00,5991.00,--,--,5991.00,197.04,--,--,,30.40,30.40,,30.40,30.40,,--,--,,,--,--,--,,--,--,--
