0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Dec '18,--,4657.90,,--,--,--,--,453.03,37.89,--,--,--,444.60,--,565.68,3156.70,6.64,3163.34,1578.64,1584.70,--,1584.70,561.97,1022.73,--,--,1022.73,115.31,--,--,,17.74,17.60,,17.74,17.60,,--,--,,,--,--,--,,--,--,--
Mar '19,--,4886.54,,--,--,--,--,480.96,38.93,--,--,--,--,--,998.07,3368.58,1.22,3369.80,1644.22,1725.58,--,1725.58,611.99,1113.59,--,--,1113.59,115.37,--,--,,19.31,19.16,,19.31,19.16,,--,--,,,--,--,--,,--,--,--
Jun '19,--,5297.78,,--,--,--,--,522.84,56.47,--,--,--,541.77,--,642.50,3534.20,7.03,3541.23,1797.19,1744.04,--,1744.04,619.31,1124.73,--,--,1124.73,115.49,--,--,,19.49,19.34,,19.49,19.34,,--,--,,,--,--,--,,--,--,--
Sep '19,--,5696.63,,--,--,--,--,560.67,63.79,--,--,--,581.25,--,679.58,3811.34,1.07,3812.41,1952.38,1860.03,--,1860.03,483.36,1376.67,--,--,1376.67,115.55,--,--,,23.83,23.66,,23.83,23.66,,--,--,,,--,--,--,,--,--,--
Dec '19,--,6303.56,,--,--,--,--,650.56,69.72,--,--,--,816.96,--,730.37,4035.95,14.94,4050.89,2051.64,1999.25,--,1999.25,511.10,1488.15,--,--,1488.15,119.97,--,--,,25.19,25.01,,25.19,25.01,,--,--,,,--,--,--,,--,--,--
Mar '20,35.65,6511.09,,--,--,--,--,562.51,80.72,--,--,--,1865.17,--,745.61,3257.08,4.07,3261.15,2056.34,1204.81,--,1204.81,313.24,891.57,--,--,891.57,119.99,--,--,,14.86,14.76,,14.86,14.76,,--,--,,,--,--,--,,--,--,--
Jun '20,13.27,5900.63,,--,--,--,--,482.60,76.98,--,--,--,1640.53,--,532.88,3167.64,1.10,3168.74,1984.77,1183.97,--,1183.97,314.47,869.50,--,--,869.50,120.08,--,--,,14.49,14.40,,14.49,14.40,,--,--,,,--,--,--,,--,--,--
Sep '20,36.20,5783.17,,--,--,--,--,461.18,67.11,--,--,--,1634.99,--,572.89,3047.00,6.65,3053.65,1868.11,1185.54,--,1185.54,308.96,876.58,--,--,876.58,120.13,--,--,,14.60,14.52,,14.60,14.52,,--,--,,,--,--,--,,--,--,--
Dec '20,41.52,5845.41,,--,--,--,--,612.43,73.25,--,--,--,1244.95,--,625.03,3289.75,2.26,3292.01,1870.24,1421.77,--,1421.77,373.19,1048.58,--,--,1048.58,120.52,--,--,,17.45,17.33,,17.45,17.33,,--,--,,,--,--,--,,--,--,--
Mar '21,72.01,6006.18,,--,--,--,--,686.21,84.91,--,--,--,1200.81,--,743.54,3290.71,4.16,3294.87,1723.27,1571.60,--,1571.60,410.75,1160.85,--,--,1160.85,120.32,--,--,,19.31,19.17,,19.31,19.17,,--,--,,,--,--,--,,--,--,--
