0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Mar '10,--,1296.09,,719.24,--,-16.54,--,67.06,15.75,--,--,--,--,--,298.19,212.39,19.11,231.50,3.99,227.51,--,227.51,72.87,154.64,2.71,19.69,177.04,95.92,--,--,,--,--,,--,--,,4.75,49.47,,,--,--,--,,--,--,--
Jun '10,--,1491.14,,876.57,--,-62.67,--,82.57,22.54,--,--,--,--,--,294.02,278.11,17.41,295.52,1.99,293.53,--,293.53,92.54,200.99,-0.03,--,200.96,95.92,--,--,,--,--,,20.95,20.95,,4.74,49.38,,,0.82,16.85,8.53,,4.04,83.15,42.09
Sep '10,--,1469.49,,977.32,--,-194.05,--,71.66,24.14,--,--,--,--,--,325.96,264.46,24.79,289.25,2.36,286.89,--,286.89,89.50,197.39,-1.23,--,196.16,95.92,--,--,,20.45,20.45,,20.45,20.45,,4.60,47.99,,,1.11,22.19,11.54,,3.88,77.81,40.47
Dec '10,--,1754.22,,853.40,23.69,167.46,--,73.77,23.79,--,--,--,--,--,334.32,277.79,20.73,298.52,3.64,294.88,--,294.88,92.38,202.50,4.10,--,206.60,95.92,--,--,,21.54,21.54,,21.54,21.54,,4.57,47.67,,,1.06,21.04,11.01,,3.96,78.96,41.32
Mar '11,--,1607.39,,974.24,23.20,-50.96,--,72.45,24.01,--,--,--,--,--,334.79,229.66,25.23,254.89,7.36,247.53,--,247.53,77.48,170.05,1.38,--,171.43,95.92,--,--,,17.87,17.87,,17.87,17.87,,4.57,47.66,,,1.14,22.72,11.89,,3.88,77.28,40.45
Jun '11,9.03,1926.48,,1190.24,33.23,-73.92,--,88.13,24.14,--,--,--,--,--,327.97,336.69,26.87,363.56,4.32,359.24,--,359.24,108.82,250.42,--,--,250.42,95.92,--,--,,26.11,26.11,,26.11,26.11,,4.54,47.35,,,1.37,27.20,14.32,,3.68,72.80,38.33
Sep '11,--,1843.56,,1179.10,33.41,-121.32,--,84.95,24.95,--,--,--,--,--,384.83,257.64,49.28,306.92,6.62,300.30,--,300.30,87.40,212.90,--,--,212.90,95.92,--,--,,20.45,20.45,,22.20,22.20,,4.53,47.22,,,1.13,22.35,11.80,,3.93,77.65,40.98
Dec '11,--,2109.52,,1148.41,25.94,78.95,--,83.22,24.89,--,--,--,--,--,410.23,337.88,25.50,363.38,6.20,357.18,--,357.18,107.12,250.06,0.42,--,250.48,95.92,--,--,,26.11,26.11,,26.11,26.11,,4.53,47.21,,,1.14,22.58,11.92,,3.92,77.42,40.87
Mar '12,8.52,2075.80,,1204.32,27.83,1.89,--,85.33,25.51,--,--,--,--,--,419.07,311.85,48.64,360.49,13.68,346.81,--,346.81,102.22,244.59,--,--,244.59,95.92,--,--,,25.50,25.50,,25.50,25.50,,4.53,47.21,,,1.09,21.51,11.36,,3.97,78.49,41.43
Jun '12,9.97,2055.85,,1313.12,40.76,-191.76,--,104.37,27.35,--,--,--,--,--,384.67,377.34,25.22,402.56,7.77,394.79,--,394.79,120.20,274.59,--,--,274.59,95.92,--,--,,28.63,28.63,,28.63,28.63,,4.53,47.21,,,0.95,18.77,9.91,,4.11,81.23,42.88
Sep '12,11.93,2146.37,,1266.90,45.36,-43.42,--,97.80,29.43,--,--,--,--,--,442.40,307.90,23.10,331.00,9.97,321.03,--,321.03,97.21,223.82,--,--,223.82,95.92,--,--,,23.33,23.33,,23.33,23.33,,4.53,47.21,,,0.96,18.87,9.96,,4.11,81.13,42.83
Dec '12,13.06,2536.97,,1265.49,44.12,172.79,--,97.57,30.08,--,--,--,--,--,505.77,421.15,34.12,455.27,5.97,449.30,--,449.30,137.27,312.03,--,--,312.03,95.92,--,--,,32.53,32.53,,32.53,32.53,,4.53,47.21,,,0.89,17.67,9.33,,4.17,82.33,43.46
Mar '13,15.61,2232.51,,1279.97,51.79,-73.78,--,104.85,40.12,--,--,--,--,--,515.66,313.90,43.71,357.61,6.85,350.76,--,350.76,111.20,239.56,--,--,239.56,95.92,--,--,,24.98,24.98,,24.98,24.98,,4.53,47.21,,,0.78,15.48,8.17,,4.28,84.52,44.61
Jun '13,18.88,2319.68,,1190.74,64.34,39.76,--,135.29,52.99,--,--,--,--,--,470.35,366.21,52.12,418.33,4.76,413.57,--,413.57,129.65,283.92,--,--,283.92,95.92,--,--,,29.60,29.60,,29.60,29.60,,4.53,47.21,,,0.82,16.15,8.53,,4.25,83.85,44.26
Sep '13,27.14,2532.03,,1487.94,57.01,-137.27,--,119.27,51.52,--,--,--,--,--,548.68,404.88,47.83,452.71,6.15,446.56,--,446.56,135.96,310.60,--,--,310.60,95.92,--,--,,3.24,3.24,,3.24,3.24,,45.29,47.21,,,8.40,16.60,8.76,,42.23,83.40,44.03
Dec '13,35.35,2843.01,,1525.11,63.20,77.83,--,125.39,53.99,--,--,--,--,--,573.76,423.73,34.71,458.44,6.39,452.05,--,452.05,144.58,307.47,--,--,307.47,95.92,--,--,,3.21,3.21,,3.21,3.21,,45.29,47.21,,,8.39,16.58,8.75,,42.24,83.42,44.04
Mar '14,37.44,2724.04,,1554.92,72.03,-55.66,--,102.48,53.83,--,--,--,--,--,626.34,370.10,39.03,409.13,8.78,400.35,-9.96,390.39,123.32,267.07,--,--,267.07,95.92,--,--,,2.78,2.78,,2.78,2.78,,45.28,47.21,,,9.42,18.60,9.82,,41.22,81.40,42.97
Jun '14,33.87,2740.73,,1424.23,112.58,19.42,--,150.55,54.70,--,--,--,--,--,544.39,434.86,48.92,483.78,4.26,479.52,-25.16,454.36,145.52,308.84,--,--,308.84,95.92,--,--,,3.22,3.22,,3.22,3.22,,45.28,47.21,,,10.13,20.01,10.57,,40.50,79.99,42.22
Sep '14,42.21,2995.71,,1827.56,101.16,-274.79,--,156.92,56.38,--,--,--,--,--,703.79,424.69,50.50,475.19,6.44,468.75,--,468.75,143.08,325.67,--,--,325.67,95.92,--,--,,3.39,3.39,,3.39,3.39,,45.28,47.21,,,7.86,15.52,8.19,,42.78,84.48,44.60
Dec '14,46.31,3025.41,,1497.34,76.27,96.06,--,153.94,56.52,--,--,--,--,--,661.38,483.90,36.76,520.66,7.84,512.82,--,512.82,159.75,353.07,--,--,353.07,95.92,--,--,,3.68,3.68,,3.68,3.68,,45.28,47.21,,,6.98,13.78,7.28,,43.66,86.22,45.51
Mar '15,40.77,2886.97,,1442.59,90.55,26.88,--,145.52,55.51,--,--,--,--,--,680.70,445.22,49.39,494.61,8.60,486.01,11.63,497.64,157.82,339.82,--,--,339.82,95.92,--,--,,3.54,3.54,,3.54,3.54,,45.28,47.21,,,6.61,13.06,6.89,,44.02,86.94,45.90
Jun '15,41.82,3093.20,,1410.14,114.67,28.16,--,162.18,56.63,--,--,--,--,--,769.23,552.19,67.09,619.28,2.79,616.49,--,616.49,188.95,427.54,--,--,427.54,95.92,--,--,,4.46,4.46,,4.46,4.46,,45.28,47.21,,,6.80,13.44,7.09,,43.83,86.56,45.70
Sep '15,44.56,3224.15,,1583.28,134.90,-118.95,--,162.25,57.41,--,--,--,--,--,925.72,479.54,66.29,545.83,4.52,541.31,--,541.31,170.56,370.75,--,--,370.75,95.92,--,--,,3.87,3.87,,3.87,3.87,,--,--,,,--,--,--,,--,--,--
Dec '15,52.88,3218.51,,1503.35,137.34,155.70,--,162.11,59.14,--,--,--,--,--,546.85,654.02,55.58,709.60,5.79,703.81,-65.30,638.51,214.94,423.57,--,--,423.57,95.92,--,--,,4.42,4.42,,4.42,4.42,,--,--,,,--,--,--,,--,--,--
Mar '16,--,3034.56,,1369.17,137.51,129.60,--,180.29,61.33,--,--,--,--,--,599.99,556.67,60.47,617.14,10.30,606.84,-0.05,606.79,205.84,400.95,--,--,400.95,95.92,--,--,,4.18,4.18,,4.18,4.18,,--,--,,,--,--,--,,--,--,--
Jun '16,46.58,2983.74,,1594.87,162.39,-219.68,--,188.99,74.02,--,--,--,--,--,527.04,656.11,78.77,734.88,4.18,730.70,--,730.70,229.52,501.18,--,--,501.18,95.92,--,--,,5.23,5.23,,5.23,5.23,,--,--,,,--,--,--,,--,--,--
Sep '16,47.87,3102.01,,1802.57,135.44,-252.14,--,192.69,73.07,--,--,--,--,--,592.20,558.18,84.77,642.95,4.40,638.55,--,638.55,203.28,435.27,--,--,435.27,95.92,--,--,,4.54,4.54,,4.54,4.54,,--,--,,,--,--,--,,--,--,--
Dec '16,50.80,3241.08,,1544.89,191.95,64.68,--,180.01,74.56,--,--,--,--,--,588.62,596.37,52.37,648.74,4.59,644.15,--,644.15,218.32,425.83,--,--,425.83,95.92,--,--,,4.44,4.44,,4.44,4.44,,--,--,,,--,--,--,,--,--,--
Mar '17,--,3320.28,,1795.12,156.75,-108.44,--,181.14,73.78,--,--,--,--,--,656.58,565.35,84.99,650.34,5.69,644.65,--,644.65,203.83,440.82,--,--,440.82,95.92,--,--,,4.60,4.60,,4.60,4.60,,--,--,,,--,--,--,,--,--,--
