0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 14,,,493.20,493.20,28862.70,28862.70,29355.90,,1006.10,137.90,62.90,258.50,1465.40,,3504.20,5390.50,2401.30,3619.60,14915.60,45736.90,,,3621.50,353.50,275.10,0.00,4250.10,5196.80,148.70,2998.10,539.00,13132.70,,5839.20,228.30,8550.90,10554.90,2929.30,4501.60,32604.20,45736.90,,,2793.40,,1524.20,0.00,0.00,0.10,,14789.73,,0.03,,34440.80,28.00,,475.82,,--,5196.80,,1825.70,4037.80
Mar 15,,,493.70,493.70,34127.90,34127.90,34621.60,,1063.20,56.70,28.10,273.60,1421.60,,4970.40,5728.80,2551.10,4115.00,17365.30,53408.50,,,3570.00,468.40,361.20,0.00,4399.60,5579.70,165.90,3071.00,336.80,13553.00,,5188.80,479.40,8144.20,15667.50,5256.10,5119.50,39855.50,53408.50,,,3022.20,,851.30,0.00,0.00,20.00,,19430.80,,0.03,,36675.90,90.60,,475.82,,--,5579.70,,1102.40,4093.80
Mar 16,,,494.10,494.10,40731.60,40731.60,41225.70,,1146.50,72.20,869.50,399.10,2487.30,,5549.50,4362.30,4657.50,642.60,15211.90,58924.90,,,3641.80,425.70,325.10,0.00,4392.60,5781.10,425.40,195.80,2869.70,13664.60,,20419.50,526.20,8398.00,8408.80,0.00,7507.80,45260.30,58924.90,,,4385.10,,627.20,0.00,0.00,15.20,,20818.10,,0.03,,40412.40,73.80,,475.82,,--,5781.10,,1167.20,19252.30
Mar 17,,,486.10,486.10,46219.50,46219.50,46705.60,,1146.30,139.10,952.70,373.30,2611.40,,5018.60,3818.60,4375.80,626.90,13839.90,63156.90,,,3755.50,606.70,694.10,0.00,5056.30,5999.40,235.20,0.00,3138.90,14429.80,,29146.70,355.90,8129.90,3516.60,191.70,7386.30,48727.10,63156.90,,,9347.90,,0.00,0.00,0.00,0.00,,21291.00,,--,,--,40400.00,,468.12,,--,5999.40,,8033.50,21113.20
Mar 18,,,904.80,904.80,41357.80,41357.80,42262.60,,72.40,46.30,1085.30,168.80,1372.80,,4647.70,4176.20,5418.60,793.40,15035.90,58671.30,,,3802.60,564.40,1290.60,0.00,5657.60,5841.60,452.00,0.00,3752.80,15704.00,,24841.20,294.30,9502.00,2322.00,0.00,6007.80,42967.30,58671.30,,,10123.10,,0.00,0.00,0.00,0.00,,20783.10,,--,,--,39180.70,,903.50,,--,5841.60,,15289.10,9552.10
Mar 19,,,1206.80,1206.80,48185.20,48185.20,49392.00,,22.00,10.40,1309.50,119.60,1461.50,,5052.20,4765.50,5397.90,929.00,16144.60,66998.10,,,3874.20,526.80,2112.70,0.00,6513.70,8250.30,391.00,0.00,4112.70,19267.70,,21998.80,340.30,10648.60,10390.20,0.00,4352.50,47730.40,66998.10,,,2618.90,,0.00,0.00,0.00,0.00,,23036.20,,--,,--,44458.40,,1205.19,,--,8250.30,,14201.80,7797.00
Mar 20,,,1142.70,1142.70,45311.00,45311.00,46453.70,,25.10,0.00,2170.50,213.30,2408.90,,5001.90,4542.60,5769.10,1130.20,16443.80,65306.40,,,5863.30,776.10,1873.50,0.00,8512.90,7735.00,433.30,0.00,2911.90,19593.10,,18963.50,174.10,9257.00,10444.00,947.20,5927.50,45713.30,65306.40,,,2693.50,,0.00,0.00,0.00,0.00,,22949.10,,--,,--,46079.40,,1141.18,,--,7735.00,,13546.10,5417.40
Mar 21,,,1095.80,1095.80,44145.80,44145.80,45241.60,,14.10,130.50,2129.20,88.50,2362.30,,5791.20,4348.50,6705.30,1287.40,18132.40,65736.30,,,6578.70,709.40,1848.00,0.00,9136.10,8206.70,47.40,0.00,2966.60,20356.80,,17495.20,91.00,8046.20,9783.20,4201.50,5762.40,45379.50,65736.30,,,1999.00,,0.00,0.00,0.00,0.00,,21329.50,,--,,--,46344.70,,1094.34,,2.60,8204.10,,13138.20,4357.00
Mar 22,,,1096.40,1096.40,53254.30,53254.30,54350.70,,5.70,0.00,2788.60,64.10,2858.40,,7673.40,4685.10,9446.90,1368.30,23173.70,80382.80,,,7386.60,651.10,1584.50,0.00,9622.20,16557.20,53.30,0.00,2377.90,28610.60,,24073.70,87.50,9295.40,4898.10,1913.00,11504.50,51772.20,80382.80,,,8271.50,,0.00,0.00,0.00,0.00,,25960.20,,--,,--,54849.00,,1094.34,,4.10,16553.10,,19090.20,4983.50
Mar 23,,,1097.60,1097.60,61101.50,61101.50,62762.30,,0.00,253.10,3394.50,54.90,3702.50,,5180.70,5300.20,7003.90,1358.00,18842.80,85307.60,,,8233.80,590.90,603.80,0.00,9428.50,19372.80,66.80,0.00,2461.70,31329.80,,29712.60,91.30,13273.20,4527.00,1232.60,5141.10,53977.80,85307.60,,,19031.50,,0.00,0.00,0.00,0.00,,31374.60,,--,,--,63706.10,,1094.34,,3.30,19372.80,,22836.70,6875.90
Mar 24,,,1045.00,1045.00,56736.90,56736.90,57781.90,,0.00,448.80,4856.40,116.10,5421.30,,4175.00,5839.40,7100.30,1330.70,18445.40,81648.60,,,7297.80,561.70,669.70,0.00,8529.20,20680.60,25.10,0.00,1849.90,31084.80,,30143.70,72.90,11648.40,3790.60,0.00,4908.20,50563.80,81648.60,,,19809.00,,0.00,0.00,0.00,0.00,,31194.00,,--,,--,63180.80,,1041.90,,7.00,20673.60,,20147.70,9996.00
