0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 15,,,5231.59,5231.59,32935.00,32935.00,38166.59,,89375.84,2472.15,5860.79,580.23,98289.01,,1200.00,392.97,19040.36,1211.95,21845.28,158300.88,,,88902.51,783.70,39670.90,13041.96,142610.36,740.99,0.00,4177.89,0.00,147529.24,,185.43,717.75,2118.65,2062.98,566.42,2278.87,7930.10,158300.88,,,32089.37,,0.00,0.00,0.00,3718.56,,424.64,,--,,--,38.04,,--,,97.08,728.99,,--,185.43
Mar 16,,,5231.59,5231.59,37502.38,37502.38,42733.97,,100239.75,2489.37,7061.81,650.45,110441.38,,2000.00,313.89,21391.30,1548.38,25253.57,178428.92,,,114207.36,950.54,33778.58,9859.27,158967.86,771.28,0.00,4838.56,0.00,164577.70,,35.64,823.68,2737.97,2453.72,794.00,3136.79,9981.80,178428.92,,,43196.44,,0.00,0.00,0.00,2481.15,,468.87,,--,,--,20.28,,--,,76.80,759.28,,--,35.64
Mar 17,,,5231.59,5231.59,44575.66,44575.66,49807.25,,110963.17,2550.54,927.44,789.56,115230.71,,1500.00,413.98,27190.31,537.21,29641.50,194679.46,,,134252.57,1255.39,35806.80,0.03,171392.12,1327.55,0.00,3618.41,7183.73,183521.81,,2.50,906.95,3221.10,3340.59,35.14,3651.37,11157.65,194679.46,,,51523.46,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,112.08,1215.47,,--,2.50
Mar 18,,,5231.59,5231.59,49183.37,49183.37,54414.96,,122420.32,2569.50,916.76,716.87,126623.45,,1000.00,240.34,29567.42,1059.58,31867.34,212905.75,,,152243.89,1366.46,30261.17,0.03,183917.50,1608.24,0.00,8253.12,6511.86,200290.72,,0.00,1038.45,3638.96,2170.43,46.88,5720.31,12615.03,212905.75,,,41197.46,,0.00,0.00,0.00,2853.36,,728.38,,--,,--,26.01,,--,,104.88,1503.36,,--,--
Mar 19,,,5231.59,5231.59,53785.55,53785.55,59017.14,,131039.51,10093.02,4384.01,368.15,145884.69,,4300.00,364.11,36206.47,700.59,41571.17,246473.00,,,162266.88,1593.10,33364.02,0.03,197438.09,2756.53,0.00,10708.99,9613.81,220517.42,,0.00,1226.28,4628.74,4332.04,416.87,15351.65,25955.58,246473.00,,,23953.95,,0.00,0.00,0.00,4788.68,,1047.69,,--,,--,24.89,,--,,88.14,2668.39,,--,--
Mar 20,,,5231.59,5231.59,59208.10,59208.10,64439.69,,135421.11,11381.85,3876.67,424.71,151104.34,,3000.00,225.72,36037.96,741.95,40005.63,255549.66,,,168339.02,1497.41,30180.08,0.03,200236.09,3763.66,0.00,12783.75,10233.98,227017.48,,0.00,1400.56,4867.90,5394.50,696.87,16172.35,28532.18,255549.66,,,26621.71,,0.00,0.00,0.00,1414.29,,1234.75,,--,,--,35.15,,--,,46.50,3717.16,,--,--
Mar 21,,,5231.59,5231.59,64347.25,64347.25,69578.84,,129080.07,11941.88,3932.11,461.93,145415.99,,1800.00,186.30,36514.92,835.88,39337.10,254331.93,,,175392.06,1551.44,17896.67,0.03,194915.06,4265.36,0.00,10474.09,9061.00,218715.51,,0.00,1362.82,3621.34,5273.54,5428.83,19929.89,35616.42,254331.93,,,22928.31,,0.00,0.00,0.00,671.71,,857.56,,--,,--,16.30,,--,,93.30,4172.06,,--,--
Mar 22,,,6975.45,6975.45,69176.12,69176.12,76151.57,,114199.40,11424.78,3790.93,517.05,129932.16,,20465.87,266.14,20129.59,932.31,41793.91,247877.64,,,178175.63,1556.13,7344.46,0.00,187107.75,7228.53,0.00,14269.78,8942.19,217548.25,,0.00,1352.60,9106.82,2971.04,328.27,16570.66,30329.39,247877.64,,,19183.04,,0.00,0.00,0.00,343.37,,533.85,,--,,--,27.23,,1743.86,,1926.43,5302.10,,--,--
Mar 23,,,6975.45,6975.45,75857.51,75857.51,82832.96,,113891.29,10631.12,3823.40,577.61,128923.42,,12703.61,325.02,20727.14,781.41,34537.18,246293.56,,,170801.36,1476.19,7668.13,0.00,179976.76,7414.95,0.00,16897.29,9777.78,214066.78,,0.00,1323.55,12381.52,4734.44,455.10,13332.17,32226.78,246293.56,,,33640.30,,0.00,0.00,0.00,367.72,,1022.28,,--,,--,46.64,,1743.86,,1774.46,5640.49,,--,--
Mar 24,,,9300.60,9300.60,77566.45,77566.45,86867.05,,105066.95,9981.40,3595.23,643.11,119286.69,,18381.67,354.07,19948.57,583.36,39267.67,245421.41,,,161333.81,1366.70,9581.16,1.84,172374.52,8731.63,0.00,21502.52,9514.67,212123.34,,608.26,1303.73,10825.80,5026.73,450.49,15083.06,33298.07,245421.41,,,53240.36,,0.00,0.00,0.00,105.00,,1951.40,,--,,--,51.60,,4069.01,,1515.93,7215.70,,608.26,--
