0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 15,,,971.41,971.41,65692.48,65692.48,66663.89,,23900.37,2250.41,1087.74,2875.92,30114.44,,34.88,5801.98,9111.52,1675.41,16623.79,115677.12,,,25071.38,177.14,23036.67,0.00,48285.19,52164.24,0.00,3166.77,211.75,103827.95,,1000.08,8042.00,491.46,478.59,1781.77,55.27,11849.17,115677.12,,,14610.35,,7570.66,398.70,398.70,696.21,,821.06,,207.78,,883.79,104.59,,252.97,,11528.97,51088.78,,--,1000.08
Mar 16,,,971.41,971.41,69505.31,69505.31,70476.72,,23457.77,2179.83,842.66,2888.18,29368.44,,5261.02,7706.13,6115.81,2005.03,21087.99,123208.15,,,24901.24,527.35,26982.37,0.00,52410.96,52360.42,0.00,3787.88,227.40,108786.66,,4320.17,7083.81,632.80,1014.67,1243.48,126.56,14421.49,123208.15,,,38595.95,,4406.87,685.26,685.26,598.29,,544.25,,128.79,,1001.37,88.23,,252.97,,4745.79,51244.67,,--,4320.17
Mar 17,,,971.41,971.41,48687.59,48687.59,49659.00,,24694.37,6111.27,3644.69,2024.74,36475.07,,3239.67,10717.44,8398.62,700.60,23056.33,111465.41,,,71778.97,788.18,6125.35,0.00,78731.11,8355.90,0.00,211.97,4056.03,91355.01,,5309.81,10236.85,2006.52,970.31,27.14,1559.77,20110.40,111465.41,,,25991.16,,0.00,10298.00,10298.00,0.00,,447.38,,--,,3996.55,--,,252.97,,4422.17,535.90,,--,5309.81
Mar 18,,,1146.12,1146.12,60368.70,60368.70,61514.82,,24568.95,6259.09,2927.91,1961.21,35717.16,,669.88,11242.75,12959.43,735.28,25607.34,125114.34,,,70942.90,786.18,5641.50,0.00,77402.35,9636.56,0.00,213.50,3218.02,90470.43,,14640.37,11023.41,1875.63,4696.74,74.13,2333.63,34643.91,125114.34,,,28359.61,,0.00,13355.43,13355.43,0.00,,334.94,,--,,5898.19,--,,252.97,,497.21,5473.11,,--,14640.37
Mar 19,,,1146.12,1146.12,69308.59,69308.59,70454.71,,26651.19,7807.00,2798.63,1918.18,39175.00,,8.09,10969.56,13837.77,778.23,25593.65,137498.36,,,70416.82,805.20,5686.02,0.00,77018.31,38929.25,0.00,231.16,4284.06,120462.78,,477.47,11255.34,1363.04,718.11,55.92,3165.70,17035.58,137498.36,,,34622.43,,0.00,14519.26,14519.26,0.00,,450.04,,--,,--,6497.94,,252.97,,448.61,34042.88,,--,477.47
Mar 20,,,1146.13,1146.13,73416.99,73416.99,74563.12,,31381.96,5862.28,3325.34,2113.56,42683.14,,7857.27,10600.96,11749.21,663.86,30871.30,150392.56,,,70505.66,727.72,8070.41,0.00,79480.43,46860.91,0.00,199.26,3842.77,130383.37,,3235.16,10716.66,1016.73,1226.87,1607.32,2206.45,20009.19,150392.56,,,32650.32,,0.00,12381.28,12381.28,0.00,,509.47,,--,,--,6314.97,,252.97,,204.31,20078.19,,--,3235.16
Mar 21,,,1198.78,1198.78,93207.56,93207.56,94406.34,,31545.41,8517.78,12602.79,2572.23,55238.21,,984.68,13426.21,14579.80,1076.91,30067.60,180490.93,,,96287.55,855.73,10499.49,0.00,108051.56,29087.33,0.00,7570.10,6507.54,151216.53,,7096.80,12857.51,2878.58,2396.90,1564.37,2480.24,29274.40,180490.93,,,33426.07,,0.00,13408.18,13408.18,0.00,,412.85,,--,,--,13241.53,,252.97,,537.85,352.37,,--,7096.80
Mar 22,,,1222.37,1222.37,124211.39,124211.39,125433.76,,20290.81,8087.57,11824.25,2685.00,42887.63,,11984.66,21091.14,19506.61,1082.42,53664.83,221986.22,,,93484.40,806.03,14159.32,0.00,108832.39,43401.43,0.00,30195.27,8267.56,190696.65,,96.11,19942.94,3280.30,2855.29,2368.01,2746.92,31289.57,221986.22,,,37797.38,,0.00,29071.56,29071.56,0.00,,505.33,,--,,--,17187.78,,252.97,,1182.53,13051.52,,--,96.11
Mar 23,,,1222.40,1222.40,133575.11,133575.11,134797.51,,30880.89,8684.15,10436.32,2555.25,52556.61,,7298.12,18082.40,19975.84,1080.94,46437.30,233791.42,,,90422.42,763.87,21091.92,0.00,112793.17,44138.90,0.00,32779.08,10130.75,199841.90,,2050.40,20795.56,3351.72,1077.33,3191.21,3483.30,33949.52,233791.42,,,43817.56,,0.00,42522.99,42522.99,0.00,,799.51,,--,,--,8612.98,,252.97,,988.94,42787.49,,--,2050.31
Mar 24,,,1248.60,1248.60,136445.05,136445.05,137693.65,,36715.91,8016.77,9862.74,2704.59,57300.01,,3841.52,22062.46,23590.00,1146.42,50640.40,245634.06,,,96455.68,980.46,27196.47,0.00,125165.20,65498.27,0.00,8604.38,9601.07,208868.92,,500.35,24547.20,1606.14,5954.68,140.82,4015.95,36765.14,245634.06,,,52543.33,,0.00,40088.63,40088.63,0.00,,1738.06,,--,,--,8317.40,,252.97,,151.32,1504.87,,0.09,500.26
