0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 15,,,801.55,801.55,29881.73,29934.14,30735.69,,38.69,1631.60,7.05,100.72,1778.06,,0.02,1904.62,3671.18,6106.09,11681.91,44195.66,,,13777.14,401.35,2085.49,0.00,16292.63,2441.64,0.00,1506.36,0.00,20240.63,,5963.82,7836.76,1722.40,7588.61,549.89,293.55,23955.03,44195.66,,,2017.06,,1429.00,61.63,61.63,292.56,,116.64,,1460.90,,4253.18,842.81,,710.47,,1045.15,1862.47,,1224.09,4740.41
Mar 16,,,804.72,804.72,32071.87,32124.28,32929.00,,25.83,1848.42,15.13,112.19,2001.57,,3.60,2265.59,4000.08,8318.59,14587.86,49518.43,,,13816.77,387.76,2470.08,0.00,16705.36,6392.90,0.00,2285.43,0.00,25383.69,,6461.34,8519.82,1686.35,6563.95,501.84,401.44,24134.74,49518.43,,,2648.78,,1247.18,15.36,15.36,211.25,,136.35,,1521.26,,3057.85,585.89,,710.47,,3253.11,3596.03,,1363.44,5098.40
Mar 17,,,1214.74,1214.74,44126.22,44126.22,45340.96,,17.99,1871.70,23.86,131.37,2044.92,,0.01,2551.22,4237.01,41.83,6830.07,54215.95,,,14469.32,410.92,3491.33,0.00,18417.26,8485.51,0.00,5.84,2769.95,29678.56,,10099.78,7863.99,2207.50,2747.27,3.37,1615.48,24537.39,54215.95,,,2148.64,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,1113.14,,6344.59,2191.52,,2380.97,7723.02
Mar 18,,,1220.43,1220.43,50179.64,50179.64,51400.07,,11.13,1917.94,73.66,121.91,2124.64,,0.00,3382.28,5435.08,39.24,8856.60,62381.31,,,15120.00,445.99,5016.85,0.00,20591.57,13493.77,0.00,7.40,3785.57,37878.31,,9903.45,7237.15,2357.01,2594.88,4.15,2406.36,24503.00,62381.31,,,2257.52,,1506.00,0.00,0.00,532.00,,0.00,,--,,3480.00,--,,1113.14,,11096.58,2432.64,,1792.59,8111.65
Mar 19,,,1225.86,1225.86,54725.99,54725.99,57949.79,,7.89,2044.14,41.90,132.64,2226.57,,0.00,3368.28,6228.04,25.24,9621.56,69797.92,,,17945.65,540.75,3391.47,0.00,21887.76,14071.45,0.00,6.21,4263.54,40228.96,,12506.55,7587.24,3646.22,3768.73,5.02,2055.20,29568.96,69797.92,,,2491.31,,1947.00,0.00,0.00,426.00,,0.00,,--,,3828.00,--,,1113.14,,11218.74,2882.13,,4624.25,7885.76
Mar 20,,,1229.22,1229.22,60777.76,60777.76,64029.16,,5.63,1617.65,349.72,143.79,2116.79,,0.00,3446.74,5524.73,117.94,9089.41,75235.36,,,19612.74,519.45,2776.31,385.36,23297.75,13455.59,0.00,3.31,1971.80,38728.45,,17175.02,8038.07,2092.00,6843.27,4.87,2353.68,36506.91,75235.36,,,2357.74,,1503.00,0.00,0.00,382.00,,0.00,,--,,3506.00,--,,1113.14,,10592.71,3091.69,,3122.85,14061.11
Mar 21,,,1230.88,1230.88,56067.22,56067.22,59004.62,,5.28,1727.73,511.71,157.07,2401.79,,0.35,4119.31,5885.24,169.05,10173.95,71580.36,,,19216.75,2581.52,3329.97,376.56,25508.30,12950.38,0.00,2.37,1304.07,39765.12,,14046.71,9470.87,2090.29,4001.53,2.77,2203.07,31815.24,71580.36,,,2339.15,,1366.00,0.00,0.00,298.00,,0.00,,--,,5934.00,--,,1113.14,,9984.03,3465.92,,4302.03,9774.63
Mar 22,,,1232.33,1232.33,58850.91,58850.91,61399.57,,4.54,1667.14,356.29,186.87,2214.84,,0.74,4223.40,7198.35,55.60,11478.09,75092.50,,,20271.99,2584.42,2442.34,364.20,25686.79,15657.32,0.00,5.06,2801.32,44150.49,,11624.95,9997.77,1952.50,3877.94,5.73,3483.12,30942.01,75092.50,,,1919.98,,2456.00,0.00,0.00,300.00,,0.00,,--,,11472.00,--,,1113.14,,11205.72,4705.95,,4483.77,7157.66
Mar 23,,,1242.80,1242.80,65609.55,65609.55,67593.80,,3.28,1621.13,426.08,201.83,2252.32,,1.26,4351.26,7999.51,63.59,12415.62,82261.74,,,21207.23,2614.62,1681.47,352.26,25870.71,16363.55,0.00,4.07,4819.97,47058.30,,16357.07,10593.90,2321.33,3831.26,5.95,2093.93,35203.44,82261.74,,,2339.03,,2950.00,0.00,0.00,213.00,,0.00,,--,,10777.00,--,,1113.14,,8340.39,8060.95,,3253.03,13104.50
Mar 24,,,1248.47,1248.47,70477.24,70477.24,72233.30,,1.76,2083.66,371.82,221.45,2678.69,,1.52,4489.55,7855.82,68.72,12415.61,87327.60,,,22737.19,2632.94,1077.97,373.09,26830.26,22821.94,0.00,2.63,1602.10,51256.93,,11916.88,12631.51,3311.45,6217.69,9.10,1984.04,36070.67,87327.60,,,1910.93,,2355.00,0.00,0.00,435.00,,0.00,,--,,9512.00,--,,1113.14,,12915.49,9996.95,,102.50,11814.01
