0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 15,,,91.87,91.87,11091.05,11091.05,11182.92,,856.54,614.51,20.98,67.63,1559.66,,74.20,628.93,485.71,435.78,1624.62,14367.21,,,5181.90,5.64,450.36,0.00,5637.90,4486.14,0.00,526.05,0.00,10650.09,,864.20,1433.15,687.49,53.19,642.96,36.13,3717.12,14367.21,,,751.52,,2536.98,0.00,0.00,91.75,,14.25,,--,,1605.41,3.18,,29.53,,53210.39,1033.34,,850.74,100.00
Mar 16,,,93.35,93.35,12277.15,12277.15,12370.50,,633.33,959.41,23.39,73.73,1689.86,,981.85,593.22,775.75,571.39,2922.21,16982.58,,,7016.68,19.36,317.65,0.00,7353.69,4632.59,0.00,802.26,0.00,12788.54,,1054.83,1609.41,992.37,36.10,464.87,36.46,4194.04,16982.58,,,509.09,,2809.86,109.25,109.25,83.05,,16.69,,--,,2214.89,2.75,,29.53,,57105.26,956.47,,1092.20,75.46
Mar 17,,,93.37,93.37,16116.82,16116.82,16230.98,,383.68,662.98,32.19,7.60,1086.45,,60.81,1113.93,1203.96,154.97,2533.67,19851.10,,,6857.98,28.83,375.48,0.00,7262.29,7424.09,0.00,141.80,90.69,14918.87,,1572.33,1732.74,1189.55,52.74,50.55,334.32,4932.23,19851.10,,,948.65,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,29.53,,70759.46,1290.87,,12.81,1559.52
Mar 18,,,131.47,131.47,44635.58,44635.58,44789.82,,853.16,1834.96,44.26,31.32,2763.70,,1729.32,2131.79,1836.83,477.39,6175.33,53728.86,,,9539.69,1276.87,745.11,0.00,11561.67,33586.74,0.00,138.32,305.21,45591.94,,1959.85,2591.66,2609.32,41.88,84.90,849.31,8136.92,53728.86,,,1634.36,,0.00,0.00,0.00,0.00,,5879.22,,--,,--,2987.27,,29.53,,95736.73,1772.63,,78.47,1881.38
Mar 19,,,131.52,131.52,41797.82,41797.82,41959.18,,1055.11,1878.88,66.24,30.73,3030.96,,1848.48,2373.83,2170.07,430.66,6823.04,51813.19,,,10053.14,1179.10,1567.20,0.00,12799.44,28161.62,0.00,140.93,318.66,41420.65,,2965.95,2931.66,3484.07,42.47,118.28,850.11,10392.54,51813.19,,,11555.87,,0.00,0.00,0.00,0.00,,6327.35,,--,,--,2890.30,,29.53,,84550.57,1982.00,,989.63,1976.32
Mar 20,,,131.56,131.56,37507.37,37507.37,37691.59,,2714.18,1405.16,169.16,29.55,4318.05,,2205.57,2690.33,2141.33,532.06,7569.29,49578.94,,,11081.01,1153.34,2793.17,0.00,15027.52,25771.74,0.00,219.25,251.06,41269.57,,1770.40,2657.27,2927.39,78.96,125.35,750.00,8309.37,49578.94,,,9520.71,,0.00,0.00,0.00,0.00,,2593.44,,--,,--,6390.60,,29.53,,3277.10,798.65,,251.99,1518.41
Mar 21,,,131.61,131.61,42759.53,42759.53,42947.85,,3089.46,1733.94,166.99,37.55,5027.94,,921.65,2706.89,2808.46,287.36,6724.36,54700.16,,,10020.48,946.02,4033.43,0.00,14999.93,30627.71,0.00,227.46,206.83,46061.93,,3012.02,2178.99,1312.03,132.69,103.80,1898.70,8638.23,54700.16,,,9449.99,,0.00,0.00,0.00,0.00,,4248.46,,--,,--,1929.46,,29.53,,7981.58,889.29,,346.00,2666.02
Mar 22,,,131.66,131.66,48413.30,48413.30,48615.78,,3034.49,1841.38,130.40,54.87,5061.14,,1086.28,4650.73,2935.23,287.05,8959.29,62636.22,,,13958.74,898.96,1740.14,0.00,16600.49,33941.79,0.00,9.14,577.01,51128.43,,4748.98,3940.84,1690.42,225.33,26.44,875.78,11507.79,62636.22,,,19902.27,,0.00,0.00,0.00,0.00,,8764.83,,--,,--,3107.21,,29.53,,11319.62,766.61,,351.93,4397.05
Mar 23,,,131.69,131.69,46726.01,46726.01,46954.93,,4273.23,1534.80,92.06,64.23,5964.32,,981.00,4711.20,3243.26,322.39,9257.85,62177.11,,,15399.10,820.53,2919.09,0.00,19145.32,30841.15,0.00,100.31,1370.77,51457.55,,3055.63,4492.78,1597.26,474.37,3.68,1095.84,10719.56,62177.11,,,5145.96,,0.00,0.00,0.00,0.00,,10715.45,,--,,--,3206.60,,29.53,,7741.46,799.66,,389.09,2666.54
Mar 24,,,132.80,132.80,51861.77,51861.77,52114.59,,7392.24,2297.09,249.50,74.06,10012.89,,2060.67,5482.63,3702.57,764.40,12010.27,74137.75,,,16348.84,756.33,7115.64,0.00,24236.12,36291.78,0.00,90.94,918.54,61537.38,,2920.39,5215.04,1974.31,309.59,163.51,2017.53,12600.37,74137.75,,,2640.27,,0.00,0.00,0.00,0.00,,11395.81,,--,,--,2927.42,,29.53,,11465.80,1657.13,,169.18,2751.21
