0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 15,,,95.92,95.92,4134.34,4134.34,4230.26,,32.09,167.78,0.00,85.25,285.12,,0.00,1313.08,832.71,612.03,2757.82,7273.20,,,1886.42,79.07,139.54,0.00,2105.03,775.72,0.00,209.54,13.64,3103.93,,1118.06,1802.18,728.87,61.81,205.43,252.92,4169.27,7273.20,,,598.28,,1660.74,0.00,0.00,18.86,,93.79,,0.14,,37.16,34.60,,93.99,,709.41,391.66,,1144.87,--
Mar 16,,,95.92,95.92,4867.24,4867.24,4963.16,,31.55,207.69,1.68,94.23,335.15,,0.00,1333.20,1021.25,711.39,3065.84,8364.15,,,2532.97,92.17,92.79,0.00,2717.93,1006.89,0.00,111.23,30.54,3866.59,,1432.79,1610.12,759.06,155.02,221.91,318.66,4497.56,8364.15,,,351.20,,1662.34,0.00,0.00,184.04,,105.52,,0.15,,35.70,44.50,,93.99,,850.13,469.51,,1477.00,--
Mar 17,,,95.92,95.92,6998.83,6998.83,7094.75,,10.38,261.17,5.96,109.84,387.35,,26.84,1671.26,1141.63,36.20,2875.93,10358.03,,,2512.01,92.67,219.76,0.00,2824.44,1598.20,0.00,70.27,434.92,4927.83,,1315.40,2194.09,994.63,205.94,13.55,706.59,5430.20,10358.03,,,1463.64,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,93.99,,978.33,619.87,,1315.40,--
Mar 18,,,95.92,95.92,7702.24,7702.24,7798.16,,9.87,270.33,3.26,107.35,390.81,,0.00,1851.50,1504.61,42.85,3398.96,11587.93,,,2477.44,91.09,1391.84,0.00,3960.37,1547.33,0.00,79.08,500.06,6086.84,,1030.01,2178.43,1138.20,120.84,12.17,1021.44,5501.09,11587.93,,,0.00,,0.00,0.00,0.00,2647.44,,0.00,,--,,147.21,--,,93.99,,831.42,65.30,,--,--
Mar 19,,,95.92,95.92,8747.04,8747.04,8842.96,,10.89,392.39,476.76,118.48,998.52,,4.35,2062.29,1722.50,52.27,3841.41,13682.89,,,5131.23,89.97,179.31,0.00,5400.51,1817.37,0.00,76.00,335.66,7629.54,,1146.63,2585.10,1244.95,167.52,13.98,895.17,6053.35,13682.89,,,333.86,,0.00,0.00,0.00,0.00,,2756.99,,--,,--,147.31,,93.99,,985.95,831.42,,1146.63,--
Mar 20,,,95.92,95.92,9357.37,9357.37,9453.29,,18.50,282.68,501.32,136.78,939.28,,0.00,1760.08,1390.83,44.14,3195.05,13587.62,,,4875.23,85.63,108.09,0.00,5068.95,2225.58,0.00,64.11,403.28,7761.92,,432.35,2827.47,1109.22,376.06,21.31,1059.29,5825.70,13587.62,,,390.08,,0.00,0.00,0.00,0.00,,2831.58,,--,,--,140.83,,93.99,,1047.52,1178.06,,432.35,--
Mar 21,,,95.92,95.92,11995.18,11995.18,12091.10,,14.31,265.19,473.23,163.51,916.24,,0.00,2814.30,1703.12,57.91,4575.33,17582.67,,,4525.73,76.88,110.11,0.00,4712.72,2161.94,0.00,0.00,751.47,7626.13,,3178.81,3124.61,1809.75,134.91,0.00,1708.46,9956.54,17582.67,,,516.36,,0.00,0.00,0.00,0.00,,2087.55,,--,,--,118.85,,93.99,,983.88,--,,3178.81,--
Mar 22,,,95.92,95.92,13253.17,13253.17,13349.09,,16.16,205.30,522.05,168.29,911.80,,0.00,3497.29,2112.07,38.08,5647.44,19908.33,,,4475.83,78.11,225.47,0.00,4779.41,1646.25,0.00,0.00,734.75,7160.41,,2164.34,5277.61,2915.77,308.57,0.00,2081.63,12747.92,19908.33,,,1225.43,,0.00,0.00,0.00,0.00,,4156.76,,--,,--,185.03,,93.99,,549.62,--,,2164.34,--
Mar 23,,,95.92,95.92,15489.64,15489.64,15585.56,,49.36,177.84,709.51,176.11,1112.82,,0.00,3045.86,2739.25,46.35,5831.46,22529.84,,,4568.52,74.17,978.04,0.00,5620.73,2314.28,0.00,0.00,719.10,8654.11,,2597.37,5321.79,3462.61,362.88,0.00,2131.08,13875.73,22529.84,,,2244.51,,0.00,0.00,0.00,0.00,,4424.41,,--,,--,189.26,,93.99,,778.74,1.49,,2548.05,49.32
Mar 24,,,95.92,95.92,18329.17,18329.17,18425.09,,35.58,187.61,948.29,164.32,1335.80,,17.86,3238.83,2926.46,37.86,6221.01,25981.90,,,5269.23,91.03,2560.93,0.00,7921.19,2609.11,0.00,0.00,898.39,11428.69,,3095.47,5074.76,3633.45,349.80,0.00,2399.73,14553.21,25981.90,,,1339.21,,0.00,0.00,0.00,0.00,,4123.62,,--,,--,182.20,,93.99,,796.11,2.00,,3095.47,--
