0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 15,,,414.01,416.82,10786.34,10786.34,11203.16,,8499.11,716.50,831.57,210.70,10257.88,,1304.88,187.81,2396.33,457.04,4346.06,25807.10,,,8404.07,57.85,663.19,0.00,9125.11,4762.28,0.00,5458.41,478.21,19824.01,,202.87,179.46,748.98,495.83,3690.65,665.30,5983.09,25807.10,,,3850.61,,0.00,177.08,177.08,59.68,,207.45,,--,,--,--,,180.21,,--,4762.28,,--,202.87
Mar 16,,,414.19,414.19,13151.62,13151.62,13565.81,,10247.05,0.00,827.86,0.00,11074.91,,3133.81,185.28,3118.18,51.22,6488.49,31129.21,,,8466.17,57.40,856.60,0.00,9380.17,5184.77,1255.75,6534.92,2853.78,25209.39,,128.10,124.82,1181.26,937.62,2099.34,1448.68,5919.82,31129.21,,,4319.89,,0.00,0.00,0.00,0.00,,363.83,,--,,--,--,,180.21,,--,5184.77,,--,128.10
Mar 17,,,414.19,498.31,16284.78,16284.78,16783.09,,16076.45,0.00,757.36,0.00,16833.81,,3197.37,258.26,1961.64,47.68,5464.95,39247.73,,,8328.08,61.51,1458.08,0.00,9847.67,9515.65,1764.52,5952.23,2199.69,29279.76,,894.74,523.00,1792.09,1552.01,3469.38,1736.75,9967.97,39247.73,,,3636.79,,0.00,0.00,0.00,0.00,,378.92,,--,,--,--,,180.21,,--,9515.65,,--,894.74
Mar 18,,,414.19,505.88,17703.19,17703.19,18209.07,,18748.10,0.00,842.51,0.00,19590.61,,715.14,213.37,1893.46,46.08,2868.05,40833.61,,,7896.68,59.98,1626.91,0.00,9583.57,10023.13,1131.86,8395.38,1483.48,30617.42,,519.20,363.41,3286.28,1273.09,2658.99,2115.22,10216.19,40833.61,,,4413.74,,0.00,0.00,0.00,0.00,,541.64,,--,,--,--,,180.21,,--,10023.13,,--,519.20
Mar 19,,,414.19,514.13,19911.60,19911.60,20425.73,,17982.19,0.00,718.32,0.00,18700.51,,6208.81,194.32,1684.95,44.22,8132.30,47424.42,,,8985.37,88.85,774.77,0.00,9848.99,13455.48,804.66,8116.87,2923.27,35149.27,,501.11,625.45,1910.06,3869.48,3056.98,2312.07,12275.15,47424.42,,,8093.65,,0.00,0.00,0.00,0.00,,620.57,,--,,--,--,,180.21,,--,13455.48,,--,501.11
Mar 20,,,406.35,503.44,19292.29,19292.29,19795.73,,24540.66,0.00,761.92,0.00,25302.58,,2202.12,217.65,4083.54,44.49,6547.80,51812.64,,,10500.30,82.46,675.36,0.00,11258.12,15603.89,954.39,10094.50,3483.60,41394.50,,11.89,86.92,2132.67,4444.17,1571.00,2171.49,10418.14,51812.64,,,4308.59,,0.00,0.00,0.00,0.00,,902.08,,--,,--,41.40,,176.79,,--,15603.89,,--,11.89
Mar 21,,,406.35,512.18,21228.40,21228.40,21740.58,,30844.29,0.00,723.74,2.40,31570.43,,1733.40,216.69,3114.16,16.54,5080.79,58558.33,,,10210.00,72.27,590.23,0.00,10872.50,20768.88,483.23,14666.23,3819.53,50610.37,,926.02,74.22,1632.42,3464.14,704.71,1146.45,7947.96,58558.33,,,4925.32,,0.00,0.00,0.00,0.00,,1198.29,,--,,--,40.49,,176.79,,--,20768.88,,--,926.02
Mar 22,,,422.47,537.82,25993.26,25993.26,26531.08,,40511.30,0.00,642.80,5.47,41159.57,,3939.87,311.01,2542.94,19.58,6813.40,74670.58,,,9909.66,129.01,614.08,0.00,10652.75,36371.70,355.64,11994.41,6502.32,65876.82,,0.00,79.33,1082.13,6211.50,348.26,1072.54,8793.76,74670.58,,,6168.34,,0.00,0.00,0.00,0.00,,1554.82,,--,,--,93.88,,176.79,,--,36371.70,,--,--
Mar 23,,,432.03,557.76,28104.13,28104.13,28661.89,,43935.97,0.00,627.33,11.58,44574.88,,3203.73,578.79,2518.24,21.95,6322.71,79726.01,,,10078.69,111.04,637.71,0.00,10827.44,44810.74,1280.05,10200.06,5828.64,72946.93,,1161.98,79.11,1274.14,2030.17,693.52,1540.16,6779.08,79726.01,,,5998.07,,0.00,0.00,0.00,0.00,,1653.45,,--,,--,113.86,,176.79,,--,44810.74,,--,25.00
Mar 24,,,432.03,569.08,28755.60,28755.60,29324.68,,43539.85,0.00,531.98,6.27,44078.10,,6025.40,499.25,2640.82,20.63,9186.10,82755.41,,,9935.60,105.49,809.50,0.00,10850.59,46022.24,654.88,13155.06,4432.13,75114.90,,102.82,87.77,1242.55,3754.63,1128.63,1324.11,7640.51,82755.41,,,3053.06,,0.00,0.00,0.00,0.00,,1501.61,,--,,--,110.44,,176.79,,--,46022.24,,--,75.00
